# Assembler.dll Function Rename Mapping
# Format: old_name|new_name
# Total functions: 291

FUN_1001be62|CCalibrationAssemblerGTIS45_WriteHarnessKeyMask
FUN_1001c283|CCalibrationAssemblerGTIS45_WriteProductId
FUN_1001c4e1|CCalibrationAssemblerGTIS45_WriteStartBootLoaderVersion
FUN_1001cee1|CCalibrationAssemblerGTIS45_getIndexTableAddress

# CCalibrationAssemblyInput class (3 methods)
FUN_1001da20|CCalibrationAssemblyInput_ReadCalibrationfileName
FUN_1001dbeb|CCalibrationAssemblyInput_ReadGTISLevel
FUN_1001de30|CCalibrationAssemblyInput_ValidateAndLoadXML

# CDataBlock class (7 methods)
FUN_1001e4ac|CDataBlock_getByte
FUN_1001e5e2|CDataBlock_getDWord
FUN_1001e6e5|CDataBlock_getWord
FUN_1001e89d|CDataBlock_setByte
FUN_1001e9c0|CDataBlock_setDWord
FUN_1001ec3d|CDataBlock_setLength
FUN_1001f017|CDataBlock_setWord

# CSubFileAssembler class (12 methods)
FUN_100208f6|CSubFileAssembler_CSubFileAssembler
FUN_10020b77|CSubFileAssembler_Assemble
FUN_10021825|CSubFileAssembler_IsValidItn
FUN_100219b1|CSubFileAssembler_ReadDataFromSubfiles
FUN_10021c93|CSubFileAssembler_ReadTableCommandRecords
FUN_100220bb|CSubFileAssembler_SetTableCount
FUN_10022218|CSubFileAssembler_UpdateDataSizeOfTables
FUN_100223aa|CSubFileAssembler_ValidateSubfiles
FUN_1002250c|CSubFileAssembler_VerifyTables
FUN_1002276e|CSubFileAssembler_WriteAssemblyOutput
FUN_10022926|CSubFileAssembler_WriteTablesIntoBlocks
FUN_10022c24|CSubFileAssembler_put_Configuration

# CSubFileAssemblerGTIS38 class (28 methods)
FUN_100342ef|CSubFileAssemblerGTIS38_ConvertToBigEndian
FUN_100343f3|CSubFileAssemblerGTIS38_ConvertToCompatibilityHeaderFormat
FUN_10034c22|CSubFileAssemblerGTIS38_CreateBlocks
FUN_1003522f|CSubFileAssemblerGTIS38_CreateIndexTable
FUN_1003562e|CSubFileAssemblerGTIS38_CreateInstanceOfCalBinImageComponent
FUN_1003584a|CSubFileAssemblerGTIS38_FillHolesInBlock
FUN_100359a1|CSubFileAssemblerGTIS38_GetASCIIHeaderRecords
FUN_10035e83|CSubFileAssemblerGTIS38_GetBytesFromCalibration
FUN_10035fd1|CSubFileAssemblerGTIS38_GetDataFromCalibration
FUN_10036140|CSubFileAssemblerGTIS38_GetIndexTableSections
FUN_100362b8|CSubFileAssemblerGTIS38_ProcessHeaders
FUN_10036684|CSubFileAssemblerGTIS38_SetEngineBuildDate
FUN_10036ab1|CSubFileAssemblerGTIS38_SetHexBinaryValueInDataPlate
FUN_10036d8a|CSubFileAssemblerGTIS38_SetStringValueInDataPlate
