# CalDataServer.dll Function Rename Mapping
# Format: old_name|new_name
# Total functions: 173

FUN_10020ca0|CEntity_GetChildWithName
FUN_10021117|CEntity_GetNamedNode
FUN_1002133b|CEntity_GetNonAddrColumn
FUN_10021628|CEntity_GetNonAddrText
FUN_10021a4f|CEntity_GetSymbolicData
FUN_10021c18|CEntity_InsertNode
FUN_1002246f|CEntity_get_ChildCount
FUN_10022588|CEntity_get_Data
FUN_100226f9|CEntity_get_EntityName
FUN_10022876|CEntity_get_EntityType
FUN_1002297c|CEntity_get_FirstChild
FUN_10022e14|CEntity_get_FullName
FUN_100230bd|CEntity_get_Group
FUN_100231c3|CEntity_get_IsArrayDescendent
FUN_10023427|CEntity_get_IsStructDescendent
FUN_1002368b|CEntity_get_Next
FUN_100238a4|CEntity_get_NumberOfNonAddrColumns
FUN_10023a4f|CEntity_get_NumberOfNonAddrRows
FUN_10023bfa|CEntity_get_Parent
FUN_10023e2d|CEntity_get_Previous
FUN_10024046|CEntity_get_SiblingCount
FUN_1002415f|CEntity_put_Data
FUN_1002429b|CEntity_put_FirstChild
FUN_100243b8|CEntity_put_Group
FUN_100244ab|CEntity_put_Next
FUN_100245c8|CEntity_put_Parent
FUN_100246fd|CEntity_put_Previous

# CEntityFactory class (1 methods)
FUN_10028a0d|CEntityFactory_CreateEntity

# CEnumerationEntity class (8 methods)
FUN_1002c249|CEnumerationEntity_getBitVal
FUN_1002c483|CEnumerationEntity_getEnumVal
FUN_1002c66a|CEnumerationEntity_get_ScaledFloat
FUN_1002cab4|CEnumerationEntity_get_ScaledValue
FUN_1002cc4f|CEnumerationEntity_putBitVal
FUN_1002cf74|CEnumerationEntity_putEnumVal
FUN_1002d17b|CEnumerationEntity_put_ScaledFloat
FUN_1002d5de|CEnumerationEntity_put_ScaledValue

# CFloat class (4 methods)
FUN_1002e055|CFloat_get_ScaledFloat
FUN_1002e470|CFloat_get_ScaledValue
FUN_1002e6eb|CFloat_put_ScaledFloat
FUN_1002ec99|CFloat_put_ScaledValue

# CInt class (4 methods)
FUN_1003157a|CInt_get_ScaledFloat
FUN_10031898|CInt_get_ScaledValue
FUN_10031bec|CInt_put_ScaledFloat
FUN_10032769|CInt_put_ScaledValue

# CNameSearchMgr class (1 methods)
FUN_10034ae1|CNameSearchMgr_buildCache

# COperationEntity class (6 methods)
FUN_10036584|COperationEntity_OnFinalResponse
FUN_10036709|COperationEntity_OnInterimResponse
FUN_1003684a|COperationEntity_Process
FUN_10037ba8|COperationEntity_get_Asynchronous
FUN_10037c8d|COperationEntity_get_IsAsynchronous
FUN_10037d75|COperationEntity_put_Asynchronous

# CStringEntity class (2 methods)
FUN_10043f01|CStringEntity_get_ScaledValue
FUN_10044194|CStringEntity_put_ScaledValue

# CSymDataItem class (1 methods)
FUN_100444e5|CSymDataItem_CSymDataItem

