# DeviceControl.dll Function Rename Mapping
# Format: old_name|new_name
# Total functions: 217

FUN_10005959|CDCLDevice_get_State
FUN_10005b61|CDCLDevice_get_DeviceConfiguration
FUN_10005ed7|CDCLDevice_get_DeviceInfo
FUN_10006350|CDCLDevice_get_Group
FUN_10006550|CDCLDevice_latOpen
FUN_10006b23|CDCLDevice_latClose
FUN_10006d34|CDCLDevice_createReceiveMailbox
FUN_100070cc|CDCLDevice_createTransmitMailbox
FUN_10007458|CDCLDevice_latAddress
FUN_1000799c|CDCLDevice_get_latInfo
FUN_10007f78|CDCLDevice_get_ToolContext
FUN_100082a0|CDCLDevice_get_RemoteContext
FUN_100084b2|CDCLDevice_get_Configuration
FUN_10008759|CDCLDevice_get_MaximumSendLength
FUN_10008a40|CDCLDevice_Connect
FUN_10008eb6|CDCLDevice_Disconnect
FUN_100090d2|CDCLDevice_CreateNewSession
FUN_1000a2b0|CDCLDevice_InternalDisconnect
FUN_1000a69b|CDCLDevice_InternalClose
FUN_1000b74a|CDCLDevice_RP1210SendCommand

# CLIPInstruction class (16 methods) - CLIP protocol packet construction
FUN_100418e0|CLIPInstruction_CLIPInstruction
FUN_10041a70|CLIPInstruction_destructor
FUN_10041bd0|CLIPInstruction_SetParametersByID
FUN_10041d40|CLIPInstruction_GetAddressByParameterID
FUN_100424f0|CLIPInstruction_ExecuteOperation
FUN_10042640|CLIPInstruction_GetParametersByID
FUN_100427b0|CLIPInstruction_ProcessResponse
FUN_10043960|CLIPInstruction_GetNextSequenceID
FUN_10043b70|CLIPInstruction_SetError
FUN_100445b0|CLIPInstruction_sendData
FUN_10044a70|CLIPInstruction_LogError
FUN_10045010|CLIPInstruction_ClearRequest
FUN_10045300|CLIPInstruction_SetRequestState
FUN_100456d0|CLIPInstruction_SetCallback
FUN_10045850|CLIPInstruction_GetSession
FUN_10045890|CLIPInstruction_GetTransport

# CLIPProcess class (1 methods)
FUN_10069a10|CLIPProcess_process

# CReceiveMailbox class (14 methods)
FUN_1005e820|CReceiveMailbox_createRMB
FUN_1005edb0|CReceiveMailbox_Destroy
FUN_1005efd2|CReceiveMailbox_Empty
FUN_1005f230|CReceiveMailbox_get_Enable
FUN_1005f570|CReceiveMailbox_put_Enable
FUN_1005f790|CReceiveMailbox_get_MessageCount
FUN_1005fb20|CReceiveMailbox_SetReceiveMode
FUN_1005fd40|CReceiveMailbox_SetMaskMatchFilter
FUN_1005ff60|CReceiveMailbox_SetDataTransportFilter
FUN_10060180|CReceiveMailbox_SetConnectMgmtFilter
FUN_100603a0|CReceiveMailbox_SetProprietaryFilter
FUN_100605c0|CReceiveMailbox_SetOpenFilter
FUN_100607d0|CReceiveMailbox_get_Group
FUN_10060ae0|CReceiveMailbox_put_Group

# CRequest class (17 methods)
FUN_1003c7c0|CRequest_get_Timeout
FUN_1003c930|CRequest_put_Timeout
FUN_1003caa0|CRequest_get_Retries
FUN_1003cc10|CRequest_put_Retries
FUN_1003cd80|CRequest_get_ReqProtocol
FUN_1003cf10|CRequest_get_ReqType
FUN_1003d0a0|CRequest_get_ReqStatus
FUN_1003d230|CRequest_get_ReqDataLength
FUN_1003d3a0|CRequest_put_ReqDataLength
FUN_1003d510|CRequest_get_ReqData
FUN_1003d6c0|CRequest_put_ReqData
FUN_1003d840|CRequest_get_DclStatus
FUN_1003d9b0|CRequest_put_DclStatus
FUN_1003db30|CRequest_get_DclStatusDescription
FUN_1003dce0|CRequest_get_Group
FUN_1003de70|CRequest_get_Asynchronous
FUN_1003dfd0|CRequest_put_Asynchronous

# CTransmitMailbox class (13 methods)
FUN_10061d00|CTransmitMailbox_createTMB
FUN_10062060|CTransmitMailbox_Destroy
FUN_100622d0|CTransmitMailbox_get_Enable
FUN_10062600|CTransmitMailbox_put_Enable
FUN_10062810|CTransmitMailbox_Empty
FUN_100629d3|CTransmitMailbox_Transmit
FUN_10062c80|CTransmitMailbox_get_MessageCount
FUN_10063020|CTransmitMailbox_get_Timeout
FUN_10063350|CTransmitMailbox_put_Timeout
FUN_10063560|CTransmitMailbox_get_Retry
FUN_100638a0|CTransmitMailbox_put_Retry
FUN_10063ac0|CTransmitMailbox_get_Group
FUN_10063dd0|CTransmitMailbox_put_Group

# CWoodwardRequest class (25 methods)
FUN_10065660|CWoodwardRequest_get_Timeout
FUN_10065810|CWoodwardRequest_put_Timeout
FUN_100659c0|CWoodwardRequest_get_Retries
FUN_10065b70|CWoodwardRequest_put_Retries
FUN_10065d30|CWoodwardRequest_get_ReqProtocol
FUN_10065ef0|CWoodwardRequest_put_ReqProtocol
FUN_10066080|CWoodwardRequest_get_ReqType
FUN_10066240|CWoodwardRequest_put_ReqType
FUN_100663d0|CWoodwardRequest_get_ReqStatus
FUN_10066580|CWoodwardRequest_put_ReqStatus
FUN_10066710|CWoodwardRequest_get_ReqDataLength
FUN_100668c0|CWoodwardRequest_put_ReqDataLength
FUN_10066a70|CWoodwardRequest_get_ReqData
FUN_10066c20|CWoodwardRequest_put_ReqData
FUN_10066df0|CWoodwardRequest_get_DclStatus
FUN_10066fa0|CWoodwardRequest_put_DclStatus
FUN_10067130|CWoodwardRequest_get_DclStatusDescription
FUN_100672e0|CWoodwardRequest_get_Length
FUN_10067470|CWoodwardRequest_get_RecordType
FUN_10067600|CWoodwardRequest_get_WoodwardRWType
FUN_10067790|CWoodwardRequest_get_Offset
FUN_10067920|CWoodwardRequest_get_MessageID
FUN_10067ab0|CWoodwardRequest_get_Location
FUN_10067c40|CWoodwardRequest_get_Group
FUN_10067e50|CWoodwardRequest_put_Group

