ParameterID,DependentParameters
13510,"13810,22351,13320,13620,13330,13630,13340,13640,13350,13650,13370,13670,13380,13680,13390,13690,13400,13700,13410,13710,13420,13720,13430,13730,13440,13740,13460,13760,13470,13770,13480,13780,13490,13790,13540,13840,14460,14470,15430"
13540,"13840,22351,13320,13620,13330,13630,13340,13640,13350,13650,13370,13670,13380,13680,13390,13690,13400,13700,13410,13710,13420,13720,13430,13730,13440,13740,13460,13760,13470,13770,13480,13780,13490,13790,13510,13810,14460,14470,15430"
13590,
13620,
13630,
13640,
13650,
13660,
13670,
13680,
13690,
13700,
13710,
13720,
13730,
13740,
13760,
13770,
13780,
13790,
13810,
13840,
13923,"11570,20011,10110,10120,11730,11680,11690,11700,11710,11720,11790,11810,11820,10130,11390,22981,15461,22551,22961,11830,22971"
14150,
14170,
14180,
14210,
14230,
14250,
14260,
14270,
14280,
14290,
14310,"22951,111024,24051,14520,20021,10090,10870,10880,12410,12424,20611,21491,22941,14180,20051,10170,15432,15536,20071,12910,22081,14260,22991,14270,14280,20061,11430,11440,22621"
14320,"14150,14330"
14330,
14340,
14344,
14350,
14370,
14460,"14470,15430,22351,13320,13620,13330,13630,13340,13640,13350,13650,13370,13670,13380,13680,13390,13690,13400,13700,13410,13710,13420,13720,13430,13730,13440,13740,13460,13760,13470,13770,13480,13780,13490,13790,13510,13810,13540,13840"
14470,
14490,
14500,
14520,
14590,
14600,
14640,
15170,
15200,
15240,"10790,22911,13360,13660,22351,13320,13620,13330,13630,13340,13640,13350,13650,13370,13670,13380,13680,13390,13690,13400,13700,13410,13710,13420,13720,13430,13730,13440,13740,13460,13760,13470,13770,13480,13780,13490,13790,13510,13810,13540,13840,14460,14470,15430,15250"
15250,
15260,
15344,
15430,
15431,
15432,
15450,"20472"
15460,
15461,
15480,
15536,
20001,
20011,"10110,10120,11570,11730,11680,11690,11700,11710,11720,11790,11810,11820,10130,11390,13923,22981,15461,22551,22961,11830,22971"
20021,"10090,10870,10880,12410,12424,20611,21491,22941,14180"
20051,"10170,15432,15536,20071,12910,22081,14260,22991,14270,14280"
20061,"11430,11440"
20071,"12910"
20091,
20131,"10280,10290,10860,14230,14370,22071,20581,111021"
20191,"10210,10220,11090,11091,11092,11093,11094,11095,11096,11097,12940,12950,21521,12041,12160,12170,12180,12050,12060,12070,12120,12130,12140,12150"
20211,"10890,10900,21641,30013,30014,30015"
20472,"15450"
20571,
20581,
20591,"12620"
20601,
20611,
20621,"24021,15170"
20651,
20661,
20761,"21781,12280,12300,12310,12860,12830,12290,12920,12840,12925,12850,12870,12880,15200"
21171,
21181,"23301"
21241,
21251,
21301,
21491,
21521,"12041,12160,12170,12180,12050,12060,12070,12120,12130,12140,12150"
21561,
21641,
21781,"12280,12300,12310,12860,12830,12290,12920,12840,12925,12850,12870,12880,15200"
21791,"12860"
22071,"20581,20131,10280,10290,10860,14230,14370,111021"
22081,"14260"
22151,"22161"
22161,
22221,"14210,14340,14344,14590,14600,15344,20651,20661,21241,21301"
22351,"13320,13620,13330,13630,13340,13640,13350,13650,13370,13670,13380,13680,13390,13690,13400,13700,13410,13710,13420,13720,13430,13730,13440,13740,13460,13760,13470,13770,13480,13780,13490,13790,13510,13810,13540,13840,14460,14470,15430"
22551,
22571,"22581"
22581,
22621,
22801,
22811,
22821,
22911,"10790,13360,13660,22351,13320,13620,13330,13630,13340,13640,13350,13650,13370,13670,13380,13680,13390,13690,13400,13700,13410,13710,13420,13720,13430,13730,13440,13740,13460,13760,13470,13770,13480,13780,13490,13790,13510,13810,13540,13840,14460,14470,15430,15240,15250"
22941,"14180"
22951,"111024"
22961,"11830"
22971,
22981,"13923,11570,20011,10110,10120,11730,11680,11690,11700,11710,11720,11790,11810,11820,10130,11390,15461,22551,22961,11830,22971"
22991,"14270,14280"
23031,"11540,11580,12410,12424,12930,20601,21251"
23121,"15260"
23301,
24021,"15170,20621"
24051,"14520"
25011,"14350"
25031,"22801,22811,22821"
30013,
30014,
30015,
111021,
111024,
