featureID,featureEnable,featureGTIS,SortBy
"10","22071","22075","-1"
"20","20221","20225","-1"
"22","21411","21415","-1"
"23","22221|","0","-1"
"27","10960|10990|11300|12530|13120|13130|13140|13150|","23125","-1"
"28","12560|","23175","-1"
"31","10030|10170|10640|11750|20001|20051|","23135","-1"
"34","20011","20015","-1"
"39","20131","20135","-1"
"42","21841|22201|","22775","-1"
"5","10970|10980|11000|11010|11020|11030|11040|11050|11060|11070|11080|12540|12550|","20265","-1"
"51","21181|21821|22241|22271|22281|","23155","-1"
"55","10210|","20195","-1"
"56","1001|1003|1005|1006|1009|1010|1011|2001|2002|2003|2004|2005|2006|2010|3005|3001|3002|3003|3004|4001|4010|4003|4004|4005|4006|5001|5002|5003|5015|2007|","23255","-1"
"83","22131","22135","-1"
"84","22171","22175","-1"
"85","22211","22215","-1"
