featureID,featureEnable,featureGTIS,SortBy
"1","21181|","25275","-1"
"11","20021","20025","-1"
"2","24021","24025","-1"
"20","20091|21171|22911|","20225","-1"
"21","12540|","23005","-1"
"23","20651|21301|14130|14210|14600|14620|","22225","-1"
"32","20051","20055","-1"
"33","10030|20001|","23105","-1"
"35","22811|22801|22821|","22835","-1"
"36","22351","22355","-1"
"39","20131","20135","-1"
"43","20011","20015","-1"
"47","22151","22155","-1"
"55","10210|10220|12940|12950|14170|15160|","20195","-1"
"56","1001|1003|1005|1006|1009|1010|1011|2010|2001|2002|2003|2004|2005|3005|2006|5017|5002|5018|5005|5006|5007|2007|5015|4001|4003|4004|4005|4006|4010|3001|3002|3003|3004|","23255","-1"
"65","20761","20765","-1"
"9","22051|10000|10020|10070|14290|14320|13041|","23015","-1"
