featureID,featureEnable,featureGTIS,SortBy
"11","20021","20025","-1"
"124","11080|","0","-1"
"20","20221","20225","-1"
"23","11350|12490|14210|20651|20661|21301|","0","-1"
"27","23121","23125","-1"
"28","12560|","0","-1"
"31","10030|10170|10640|20001|20051|20071|20081|","0","-1"
"34","20011","20015","-1"
"39","20131","20135","-1"
"41","21191","21195","-1"
"51","13950|13960|13970|21181|21821|22241|","0","-1"
"55","20191","20195","-1"
"56","1001|1003|1005|1006|1009|1010|1011|2010|2001|2002|2003|2004|2005|3005|2006|5001|5002|5003|5005|5006|5007|2007|4001|4003|4004|4005|4006|4010|3001|3002|3003|3004|","23255","-1"
"6","20311","20315","-1"
"8","22191","22195","-1"
"9","10000|10050|10060|10070|10200|13030|","0","-1"
