featureID,featureEnable,featureGTIS,SortBy
"1","13310|25681|25691|","25275","-1"
"10","22071","22075","-1"
"129","10030|20001|","23135","-1"
"130","24081","24085","-1"
"20","20221","20225","-1"
"34","20011","20015","-1"
"39","20131","20135","-1"
"5","10960|10970|10980|11200|11210|11240|11250|11260|11270|11280|11290|11310|11530|11080|","23125","-1"
"56","1001|1003|1005|1006|1009|1010|1011|2001|2002|2003|2004|2005|2006|2010|3001|3002|3003|3004|3005|4001|4003|4004|4005|4006|4010|2007|5001|5002|5003|5005|5006|5007|5015|","23255","-1"
"98","20451","20455","-1"
