featureID,subFeatureID,parameterID
"1","16789000","16786457"
"101","0","16791351"
"101","0","16791359"
"11","0","16785147"
"11","0","16785151"
"11","0","16785224"
"124","1020058","16781712"
"124","1020058","16781728"
"124","1020058","16781732"
"124","1020058","16787934"
"124","1020058","16787937"
"124","1020059","16781729"
"124","1020059","16781733"
"124","1020059","16781743"
"124","1020059","16787935"
"124","1020059","16787938"
"124","1020060","16781730"
"124","1020060","16781734"
"124","1020060","16781742"
"124","1020060","16787936"
"124","1020060","16787939"
"124","1020123","16808984"
"124","1020123","16813141"
"124","1020123","16814223"
"124","1020123","16814487"
"124","1020123","16814510"
"124","1020124","16810390"
"124","1020124","16813143"
"124","1020124","16814424"
"124","1020124","16814488"
"124","1020124","16814513"
"124","1020125","16810398"
"124","1020125","16813144"
"124","1020125","16814437"
"124","1020125","16814489"
"124","1020125","16814514"
"124","1020126","16813069"
"124","1020126","16813183"
"124","1020126","16814441"
"124","1020126","16814490"
"124","1020126","16814517"
"124","1020127","16813070"
"124","1020127","16813333"
"124","1020127","16814443"
"124","1020127","16814498"
"124","1020127","16814518"
"124","1020128","16813071"
"124","1020128","16813859"
"124","1020128","16814482"
"124","1020128","16814507"
"124","1020128","16814519"
"124","1020129","16813140"
"124","1020129","16813860"
"124","1020129","16814483"
"124","1020129","16814509"
"124","1020129","16814521"
"131","0","16781449"
"138","0","16781334"
"138","0","16781498"
"138","0","16781659"
"138","0","16781660"
"138","0","16781661"
"138","0","16781665"
"138","0","16781681"
"138","0","16789424"
"138","0","16790292"
"138","0","16790297"
"138","0","16790302"
"138","0","16790307"
"138","0","16790312"
"138","0","16790317"
"138","0","16790322"
"138","0","16790327"
"138","16781638","16781417"
"138","16781638","16781431"
"138","16781638","16781432"
"138","16781638","16781433"
"138","16781638","16781434"
"138","16781708","16781612"
"139","0","16783822"
"139","0","16785417"
"139","0","16785418"
"142","16806725","16806615"
"142","16806725","16806621"
"142","16806725","16806622"
"142","16806725","16806623"
"142","16809181","16809395"
"143","200146","16801741"
"143","200147","16801742"
"143","200148","16801743"
"143","200149","16801744"
"143","200150","16801745"
"143","200151","16801746"
"143","200152","16807289"
"143","200153","16807476"
"146","0","16809959"
"146","0","16809960"
"146","0","16809963"
"146","0","16809964"
"147","0","16809335"
"147","0","16809414"
"147","0","16811133"
"159","0","16821848"
"17","0","16789360"
"17","0","16790876"
"17","0","16790878"
"2","0","16789387"
"20","16809577","16809571"
"20","16809578","16809572"
"215","0","16786324"
"215","0","16786335"
"23","0","16781836"
"23","16781833","16781831"
"23","16781840","16781823"
"32","0","16790231"
"32","0","16801895"
"32","16790222","16790228"
"32","16790222","16790229"
"32","16790222","16790230"
"34","0","16781507"
"34","0","16781509"
"34","0","16781522"
"34","0","16787940"
"34","16781650","16781496"
"34","16781650","16781511"
"34","16781650","16781512"
"34","16781650","16781513"
"34","16781650","16781514"
"35","0","16791265"
"35","0","16791267"
"35","0","16791268"
"39","0","16798583"
"39","0","16798586"
"39","0","16798589"
"39","0","16798592"
"39","0","16798593"
"39","0","16798598"
"46","0","16781382"
"46","0","16785182"
"46","0","16785191"
"46","0","16785209"
"46","16806831","16806832"
"46","16806831","16806833"
"47","0","16786637"
"506","0","16787270"
"511","0","16790872"
"512","0","16786923"
"519","0","16785149"
"519","0","16785150"
"52","0","1020067"
"52","0","1020073"
"52","0","16798899"
"52","0","16799022"
"522","0","16797395"
"522","16800416","16797468"
"522","16800416","16797469"
"522","16800416","16797474"
"522","16800416","16797475"
"522","16800416","16797512"
"522","16800419","16797470"
"522","16800419","16797471"
"525","0","16792434"
"533","0","16789237"
"533","0","16789238"
"55","0","16789237"
"55","0","16789238"
"55","0","16789286"
"55","0","16789288"
"55","0","16789292"
"55","0","16789293"
"56","23051","3001"
"56","23051","3002"
"56","23051","3003"
"56","23051","3004"
"56","23061","1001"
"56","23061","1003"
"56","23061","1005"
"56","23061","1006"
"56","23071","1009"
"56","23071","1010"
"56","23071","1011"
"56","23081","2001"
"56","23081","2002"
"56","23081","2003"
"56","23081","2005"
