featureID,featureEnable,featureGTIS,SortBy
"1","16794310|16789000|","1020064","-1"
"101","16791353","1015134","-1"
"11","16785223","1015040","-1"
"124","16787932","1015132","-1"
"131","16781449|","1015124","-1"
"137","16789762","1015055","-1"
"138","16781602","1015044","-1"
"139","16789763","1015054","-1"
"142","16796218|16823949|16806862|16806549|16806806|16806808|16809181|16806725|16806084|16809395|","0","-1"
"143","16801739","1015339","-1"
"146","16809956","1015368","-1"
"147","16810381","1015370","-1"
"148","16811140","1015371","-1"
"159","16820915","1015395","-1"
"161","16823814","1015403","-1"
"17","16790877","1015043","-1"
"183","16811071","1015433","-1"
"184","16818074","1015434","-1"
"188","16823940","1010430","-1"
"198","16790914","1015159","-1"
"2","16789389","1015119","-1"
"20","16781725","1015004","-1"
"215","16786256","1015009","-1"
"23","16781727","1015042","-1"
"32","16801893","1015211","-1"
"34","16781506","1015006","-1"
"35","16791263","1015181","-1"
"39","16798569","1015262","-1"
"46","16784915","1015041","-1"
"47","16786635","1015120","-1"
"506","16787256","1015010","-1"
"510","16788146","1015127","-1"
"511","16790871","1015144","-1"
"512","16788755","1015131","-1"
"513","16789393","1015129","-1"
"514","16781662","1015143","-1"
"517","16791504","1015152","-1"
"518","16789991","1015140","-1"
"519","16789352","1015139","-1"
"52","16787649","1015176","-1"
"522","16797504","1015187","-1"
"525","16792428","1015179","-1"
"529","16791190","1015036","-1"
"533","16809874","1015357","-1"
"55","16789245","1015011","-1"
"56","1001|1003|1005|1006|1009|1010|1011|2001|2002|2003|2022|2005|2006|3005|3001|3002|3003|3004|4003|4004|4010|2007|5001|5002|5003|5007|5015|","23255","-1"
"57","16788902","1015141","-1"
"6","16788139","1015003","-1"
"61","16786584","1015005","-1"
"62","16787859","1015000","-1"
"65","16789056","1010053","-1"
"73","16785226|","1015056","-1"
"74","16786582","1015001","-1"
"76","16791272","1015133","-1"
"77","16787874","1015002","-1"
"8","16788144","1015128","-1"
"95","16791400|16791323|16791312|16791322|16791321|16791676|16791979|16791682|16791984|16791989|16792085|16791997|16792002|16792056|16791320|16791579|1020039|16791590|16792095|16791684|16791688|16792016|16792017|16792018|16792021|1020011|1020013|16791588|16792009|16791595|1020015|16791598|16792065|16792091|16791697|16791692|16791405|16791593|16794419|1020017|16806711|16806710|16806357|16821813|","0","-1"
"96","16788767","1015130","-1"
