featureID,subFeatureID,subFeatureEnable,subFeatureGTIS,subFeatureParent,SortBy
"1","0","0","0","1","-1"
"1","16789000","16789000","1015007","1","-1"
"1","16794310","16794310","1015138","1","-1"
"101","0","0","0","101","-1"
"11","0","0","0","11","-1"
"11","16785222","16785222","1015040","11","-1"
"11","16785225","16785225","1015040","11","-1"
"124","1020058","16781712|16781728|16787937|16787934|16781732|","0","16781731","-1"
"124","1020059","16781743|16781729|16787938|16787935|16781733|","0","16781731","-1"
"124","1020060","16781742|16781730|16787939|16787936|16781734|","0","16781731","-1"
"124","1020123","16813141|16808984|16814510|16814223|16814487|","0","16793806","-1"
"124","1020124","16813143|16810390|16814513|16814424|16814488|","0","16793806","-1"
"124","1020125","16813144|16810398|16814514|16814437|16814489|","0","16793806","-1"
"124","1020126","16813183|16813069|16814517|16814441|16814490|","0","16793806","-1"
"124","1020127","16813333|16813070|16814518|16814443|16814498|","0","16793806","-1"
"124","1020128","16813859|16813071|16814519|16814482|16814507|","0","16793806","-1"
"124","1020129","16813860|16813140|16814521|16814483|16814509|","0","16793806","-1"
"124","16781731","16781731","0","124","-1"
"124","16793806","16793806","1015473","16781731","-1"
"131","0","0","0","131","-1"
"137","0","0","0","137","-1"
"138","0","0","0","138","-1"
"138","16781437","16781437","1015044","138","-1"
"138","16781438","16781438","1015044","138","-1"
"138","16781439","16781439","1050011","138","-1"
"138","16781440","16781440","1015044","138","-1"
"138","16781638","16781638","0","16781439","-1"
"138","16781708","16781708","1050010","138","-1"
"138","16789413","16789413","1015044","138","-1"
"138","16820339","16820339","1015435","138","-1"
"139","0","0","0","139","-1"
"142","1020295","0","0","1020296","-1"
"142","1020296","0","0","142","-1"
"142","1020385","16796218|16823949|16806862|16806549|16806806|16806808|16809181|16806725|16806084|16809395|","0","142","-1"
"142","16796218","16796218","1015432","1020385","-1"
"142","16806084","16806084","1015330","1020385","-1"
"142","16806549","16806549","1015332","1020385","-1"
"142","16806725","16806725","1015331","1020385","-1"
"142","16806806","16806806","1015335","1020385","-1"
"142","16806808","16806808","1015334","1020385","-1"
"142","16806862","16806862","1015333","1020385","-1"
"142","16809181","16809181","1015338","1020385","-1"
"142","16823949","16823949","1015449","1020385","-1"
"143","200146","16801741|1020184|","1020168","143","-1"
"143","200147","16801742|1020185|","1020169","143","-1"
"143","200148","16801743|1020186|","1020170","143","-1"
"143","200149","16801744|1020187|","1020171","143","-1"
"143","200150","16801745|1020188|","1020172","143","-1"
"143","200151","16801746|1020189|","1020173","143","-1"
"143","200152","16807289|1020190|","1020174","143","-1"
"143","200153","16807476|1020191|","1020175","143","-1"
"146","0","0","0","146","-1"
"147","0","0","0","147","-1"
"148","0","0","0","148","-1"
"159","0","0","0","159","-1"
"161","0","0","0","161","-1"
"17","0","0","0","17","-1"
"17","16790875","16790875","1050003","17","-1"
"17","16790879","16790879","1050002","17","-1"
"17","16804680","16804680","1015265","17","-1"
"183","0","0","0","183","-1"
"184","0","0","0","184","-1"
"188","0","0","0","188","-1"
"198","0","0","0","198","-1"
"2","0","0","0","2","-1"
"20","16781452","16781452","1050021","20","-1"
"20","16781724","16781724","1050020","20","-1"
"20","16781792","16781792","1050022","20","-1"
"20","16809577","16809571|","1015438","20","-1"
"20","16809578","16809572|","1015439","20","-1"
"215","0","0","0","215","-1"
"23","0","0","0","23","-1"
"23","16781726","16781726","1050005","16781833","-1"
"23","16781727","16781727","1015042","23","-1"
"23","16781833","16781833","1050004","23","-1"
"23","16781834","16781834","1050006","23","-1"
"23","16781840","16781840","0","23","-1"
"23","16781843","16781843","1050008","23","-1"
"23","16781844","16781844","1050007","23","-1"
"23","16788268","16788268","1050009","23","-1"
"23","16804683","16804683","1015266","23","-1"
"32","0","0","0","32","-1"
"32","16790222","16790222","1015038","32","-1"
"32","16790223","16790223","1050001","32","-1"
"32","16790226","16790226","1015039","32","-1"
"32","16790227","16790227","0","32","-1"
"32","16806667","16806667","1015336","32","-1"
"32","16821868","16821868","1015396","32","-1"
"34","0","0","0","34","-1"
"34","16781650","16781650","0","34","-1"
"35","0","0","0","35","-1"
"39","0","0","0","39","-1"
"46","0","0","0","46","-1"
"46","16788047","16788047","1015050","46","-1"
"46","16806831","16806831","1015337","46","-1"
"47","0","0","0","47","-1"
"506","0","0","0","506","-1"
"510","0","0","0","510","-1"
"511","0","0","0","511","-1"
"512","0","0","0","512","-1"
"513","0","0","0","513","-1"
"514","0","0","0","514","-1"
"517","0","0","0","517","-1"
"518","0","0","0","518","-1"
"519","0","0","0","519","-1"
"52","0","0","0","52","-1"
"522","0","0","0","522","-1"
"522","16800416","16800416","1015189","522","-1"
