featureID,featureEnable,featureGTIS,SortBy
"10","22071","22075","-1"
"11","20021","20025","-1"
"125","11610|11611|11612|","22595","-1"
"131","20671|14080|","24005","-1"
"14","21521","21525","-1"
"17","23031|21251|20601|11580|15450|12424|12410|14360|","23035","-1"
"2","24021","24025","-1"
"20","20091|21171|22911|","20225","-1"
"23","22221","22225","-1"
"26","20061","20065","-1"
"3","22941","22945","-1"
"32","20051","20055","-1"
"35","22801|22811|22821|","0","-1"
"36","22351","22355","-1"
"39","20131","20135","-1"
"43","20011|22981|11570|","0","-1"
"44","21781","21785","-1"
"46","20211|21641|","0","-1"
"47","22151","22155","-1"
"52","22951","22955","-1"
"55","20191|","0","-1"
"56","1001|1003|1005|1006|1009|1010|1011|2001|2002|2003|2004|2005|2006|2010|3001|3002|3003|3004|3005|4001|4010|4003|4004|4005|4006|2007|5002|5015|5017|5018|5006|5005|5007|","23255","-1"
"57","10020|14290|10070|14320|14310|15480|","25025","-1"
"61","25731","25735","-1"
"62","20001|10030|","0","-1"
"65","20761","20765","-1"
"68","14250|11450|13923|10790|","23025","-1"
"7","22571","22575","-1"
"73","14350|","0","-1"
"76","23121","23125","-1"
"77","20571","20575","-1"
"78","12620|","0","-1"
"90","24051","24055","-1"
"94","21181","21185","-1"
