featureID,featureEnable,featureGTIS,SortBy
"20","20221","20225","-1"
"23","21201|","23045","-1"
"27","10960|10990|11020|11030|11300|","23125","-1"
"31","10030|10640|11750|20001|","23135","-1"
"34","20011","20015","-1"
"39","20131","20135","-1"
"5","10970|10980|11000|11010|11020|11030|11040|11050|11060|11070|11080|","20265","-1"
"51","21181|21821|","23155","-1"
"55","10210|","20195","-1"
"56","1001|1003|1005|1006|1009|1010|1011|2001|2002|2003|2004|2005|2006|2010|3001|3002|3003|3004|3005|4001|4003|4004|4005|4006|4010|2007|5001|5002|5003|5005|5006|6001|6002|6004|6007|6008|6009|6010|6011|","23255","-1"
"83","21611|","22135","-1"
"86","12250|","25235","-1"
