featureID,subFeatureID,subFeatureEnable,subFeatureGTIS,subFeatureParent,SortBy
"1","0","0","25275","1","-1"
"1","25771","25771","25275","1","-1"
"11","0","0","20025","11","-1"
"17","0","0","23035","17","-1"
"2","0","0","21225","2","-1"
"20","0","0","20225","20","-1"
"21","0","0","23005","21","-1"
"23","0","0","22225","23","-1"
"26","0","0","20065","26","-1"
"32","0","0","20055","32","-1"
"33","0","0","23105","33","-1"
"35","0","0","22835","35","-1"
"36","0","0","22355","36","-1"
"36","13320","13320","22355","36","-1"
"36","13330","13330","22355","36","-1"
"36","13340","13340","22355","36","-1"
"36","13350","13350","22355","36","-1"
"36","13360","13360","22355","36","-1"
"36","13370","13370","22355","36","-1"
"36","13380","13380","22355","36","-1"
"36","13390","13390","22355","36","-1"
"36","13400","13400","22355","36","-1"
"36","13410","13410","22355","36","-1"
"36","13420","13420","22355","36","-1"
"36","13430","13430","22355","36","-1"
"36","13440","13440","22355","36","-1"
"36","13460","13460","22355","36","-1"
"36","13470","13470","22355","36","-1"
"36","13480","13480","22355","36","-1"
"36","13490","13490","22355","36","-1"
"36","13510","13510","22355","36","-1"
"36","13540","13540","22355","36","-1"
"36","14460","14460","22355","36","-1"
"39","0","0","20135","39","-1"
"43","0","0","20015","43","-1"
"43","20101","20101","20015","43","-1"
"44","0","0","21785","44","-1"
"47","0","0","22155","47","-1"
"537","0","0","22265","537","-1"
"55","0","0","20195","55","-1"
"56","23051","3001|3002|3003|3004|","23255","56","-1"
"56","23061","1001|1003|1005|1006|","23255","56","-1"
"56","23071","1009|1010|1011|","23255","56","-1"
"56","23081","2001|2002|2003|2004|2005|2006|2010|3005|","23255","56","-1"
"56","23091","2007|5017|5002|5018|5005|5006|5007|5015|","23255","56","-1"
"56","25051","4001|4003|4004|4005|4006|4010|","23255","56","-1"
"63","0","0","25315","63","-1"
"65","0","0","20765","65","-1"
"66","0","0","25325","66","-1"
"68","0","0","23025","68","-1"
"7","0","0","22575","7","-1"
"74","0","0","25185","74","-1"
"77","0","0","25165","77","-1"
"79","0","0","24015","79","-1"
"9","0","0","23015","9","-1"
"90","0","0","24055","90","-1"
