featureID,subFeatureID,parameterID
"119","0","15090"
"119","0","15100"
"119","0","15101"
"121","0","15110"
"121","0","15120"
"121","0","15130"
"122","0","10840"
"122","0","10850"
"122","0","11350"
"122","0","15050"
"122","0","15060"
"122","0","15070"
"122","0","15080"
"122","0","15083"
"122","0","15084"
"122","0","25621"
"145","0","15140"
"145","0","15150"
"56","23051","3001"
"56","23051","3002"
"56","23051","3003"
"56","23051","3004"
"56","23061","1001"
"56","23061","1003"
"56","23061","1005"
"56","23061","1006"
"56","23071","1009"
"56","23071","1010"
"56","23071","1011"
"56","23081","2001"
"56","23081","2002"
"56","23081","2003"
"56","23081","2004"
"56","23081","2005"
"56","23081","2006"
"56","23081","2010"
"56","23081","3005"
"56","23091","2007"
"56","23091","5002"
"56","23091","5005"
"56","23091","5006"
"56","23091","5015"
"56","23091","5017"
"56","23091","5018"
"56","25051","4001"
"56","25051","4003"
"56","25051","4004"
"56","25051","4005"
"56","25051","4006"
"56","25051","4010"
