featureID,subFeatureID,subFeatureEnable,subFeatureGTIS,subFeatureParent,SortBy
"11","0","0","0","11","-1"
"124","11080","11080","0","124","-1"
"124","25641","10960|10990|11020|11030|12530|","0","11080","-1"
"124","25651","10970|11000|11040|11050|12540|","0","11080","-1"
"124","25661","10980|11010|11060|11070|12550|","0","11080","-1"
"20","0","0","0","20","-1"
"23","0","0","0","23","-1"
"27","0","0","0","27","-1"
"28","0","0","0","28","-1"
"31","0","0","0","31","-1"
"34","0","0","0","34","-1"
"39","0","20131","20135","39","-1"
"41","0","0","0","41","-1"
"51","0","0","0","51","-1"
"55","0","0","0","55","-1"
"56","23051","3001|3002|3003|3004|","0","56","-1"
"56","23061","1001|1003|1005|1006|","0","56","-1"
"56","23071","1009|1010|1011|","0","56","-1"
"56","23081","2010|2001|2002|2003|2004|2005|3005|2006|","0","56","-1"
"56","23091","5001|5002|5003|5005|5006|5007|2007|","0","56","-1"
"56","25051","4001|4003|4004|4005|4006|4010|","0","56","-1"
"6","0","0","0","6","-1"
"8","0","0","0","8","-1"
"9","0","0","0","9","-1"
