featureID,subFeatureID,subFeatureEnable,subFeatureGTIS,subFeatureParent,SortBy
"10","0","0","0","10","-1"
"2","0","0","0","2","-1"
"20","0","0","0","20","-1"
"21","0","0","0","21","-1"
"33","0","0","0","33","-1"
"43","0","0","0","43","-1"
"54","0","0","0","54","-1"
"56","0","1001|1003|1005|1006|1009|1010|1011|2001|2002|2003|2004|2005|2006|3005|3001|3002|3003|3004|4001|4010|4003|4007|4008|2007|5001|5002|5003|","0","56","-1"
"56","23051","3001|3002|3003|3004|","0","0","-1"
"56","23061","1001|1003|1005|1006|","0","0","-1"
"56","23071","1009|1010|1011|","0","0","-1"
"56","23081","2001|2002|2003|2004|2005|2006|3005|","0","0","-1"
"56","23091","2007|5001|5002|5003|","0","0","-1"
"56","25051","4001|4010|4003|4007|4008|","0","0","-1"
"57","0","0","0","57","-1"
"89","0","0","0","89","-1"
