ParameterID,DependentParameters
1001,
1003,
1005,
1006,
1009,
1010,
1011,
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2010,
3001,
3002,
3003,
3004,
3005,
4001,
4003,
4004,
4005,
4006,
4010,
5001,
5002,
5003,
5005,
5006,
5007,
10030,
10130,"10940,11460,11470,11480,11490,11500,11510,11520"
10210,
10640,
10940,"10130,11460,11470,11480,11490,11500,11510,11520"
10950,
10960,
10970,
10990,
11000,
11020,
11030,
11040,
11050,
11080,"10970,11000,11040,11050"
11460,"10130,10940,11470,11480,11490,11500,11510,11520"
11470,"10130,10940,11460,11480,11490,11500,11510,11520"
11480,"10130,10940,11460,11470,11490,11500,11510,11520"
11490,"10130,10940,11460,11470,11480,11500,11510,11520"
11500,"10130,10940,11460,11470,11480,11490,11510,11520"
11510,"10130,10940,11460,11470,11480,11490,11500,11520"
11520,"10130,10940,11460,11470,11480,11490,11500,11510"
11750,
11760,
12900,
13310,
13330,
13350,
13440,
13450,
13460,
13510,
13520,
13530,
13540,
13550,
13560,
13570,
13630,
13650,
13740,
13750,
13760,
13810,
13820,
13830,
13840,
20001,
20011,"10130,10940,11460,11470,11480,11490,11500,11510,11520,10950"
20091,
20131,"11760,22071,12900"
20191,
20221,"20091,21411"
20261,"10970,11000,11040,11050,11080"
20311,
21181,
21411,
22071,"12900,20131,11760"
22351,"13330,13350,13440,13450,13460,13510,13520,13530,13540,13550,13560,13570,13630,13650,13740,13750,13760,13810,13820,13830,13840"
23121,"10960,10990,11020,11030,13310"
23131,"10030,10640,11750,20001"
23151,"13310,21181"
