featureID,subFeatureID,parameterID
"1","0","13310"
"1","0","21221"
"11","0","10090"
"11","0","10100"
"11","0","10870"
"11","0","10880"
"11","0","20611"
"14","0","12040"
"14","0","12050"
"14","0","12060"
"14","0","12070"
"14","0","12080"
"14","0","12090"
"14","0","12100"
"14","0","12110"
"14","0","12120"
"14","0","12130"
"14","0","12140"
"14","0","12150"
"14","0","12160"
"14","0","12170"
"14","0","12180"
"17","0","10910"
"17","0","10920"
"17","0","10930"
"17","0","11380"
"17","0","11540"
"17","0","11580"
"17","0","20601"
"17","0","21241"
"17","0","21251"
"20","0","20091"
"21","0","10020"
"23","0","11350"
"23","0","20651"
"23","0","20661"
"23","0","20681"
"23","0","20751"
"23","0","21301"
"26","0","11430"
"26","0","11440"
"3","0","14190"
"32","0","10170"
"32","0","12190"
"32","0","12200"
"32","0","12210"
"32","0","20071"
"32","0","20081"
"32","0","22081"
"33","0","10030"
"33","0","20001"
"39","0","10270"
"39","0","10280"
"39","0","10290"
"39","0","10320"
"39","0","10860"
"39","0","15340"
"40","0","10140"
"40","0","10150"
"40","0","10160"
"43","0","10110"
"43","0","10120"
"43","0","10130"
"43","0","10180"
"43","0","11390"
"43","0","11400"
"43","0","11570"
"43","0","20101"
"43","0","20781"
"43","0","21281"
"43","0","21291"
"43","0","22531"
"5","0","10600"
"5","0","11000"
"5","0","11010"
"5","0","11040"
"5","0","11050"
"5","0","11060"
"5","0","11070"
"5","0","12240"
"5","0","20261"
"54","0","11410"
"54","0","11450"
"54","0","12220"
"54","0","12230"
"54","0","14250"
"54","0","22061"
"55","0","10210"
"55","0","10220"
"56","23051","3001"
"56","23051","3002"
"56","23051","3003"
"56","23051","3004"
"56","23061","1001"
"56","23061","1003"
"56","23061","1005"
"56","23061","1006"
"56","23071","1009"
"56","23071","1010"
"56","23071","1011"
"56","23081","2001"
"56","23081","2002"
"56","23081","2003"
"56","23081","2004"
"56","23081","2005"
"56","23081","2006"
"56","23081","2010"
"56","23081","3005"
"56","23091","2007"
"56","23091","5001"
"56","23091","5002"
"56","23091","5003"
"56","23091","5005"
"56","23091","5006"
"56","23091","5007"
"56","23091","5015"
"56","25051","4001"
"56","25051","4003"
"56","25051","4004"
"56","25051","4005"
"56","25051","4006"
"56","25051","4010"
"57","0","10000"
"57","0","10050"
"57","0","10060"
"57","0","10070"
"57","0","10082"
"57","0","10200"
"57","0","10890"
"57","0","10900"
"57","0","11420"
