featureID,subFeatureID,subFeatureEnable,subFeatureGTIS,subFeatureParent,SortBy
"1","25771","25771","0","1","-1"
"101","0","0","0","101","-1"
"11","0","0","0","11","-1"
"131","0","0","0","131","-1"
"131","20671","20671","0","131","-1"
"140","0","0","0","140","-1"
"140","15561","15561","0","140","-1"
"142","25781","25781","25785","142","-1"
"142","25801","25801","25805","142","-1"
"142","25821","25821","0","25801","-1"
"142","25831","25831","0","25801","-1"
"17","0","0","0","17","-1"
"2","0","0","0","2","-1"
"20","0","0","0","20","-1"
"23","0","0","0","23","-1"
"23","14590","14590","0","23","-1"
"26","0","0","0","26","-1"
"3","0","0","0","3","-1"
"32","0","0","0","32","-1"
"32","15430","15430","0","32","-1"
"32","20071","20071","0","32","-1"
"35","0","0","0","35","-1"
"39","0","0","0","39","-1"
"44","0","0","0","44","-1"
"46","20211","20211","20215","46","-1"
"46","21641","21641","21645","46","-1"
"47","0","0","0","47","-1"
"509","0","0","0","509","-1"
"55","0","0","0","55","-1"
"56","23051","3001|3002|3003|3004|","0","56","-1"
"56","23061","1001|1003|1005|1006|","0","56","-1"
"56","23071","1009|1010|1011|","0","56","-1"
"56","23081","2001|2002|2003|2004|2005|2006|2010|3005|","0","56","-1"
"56","23091","2007|5002|5015|5017|5018|5006|5005|5007|","0","56","-1"
"56","25051","4001|4010|4003|4004|4005|4006|","0","56","-1"
"61","0","0","0","61","-1"
"62","0","0","0","62","-1"
"65","0","0","0","65","-1"
"68","0","0","0","68","-1"
"69","0","0","0","69","-1"
"7","0","0","0","7","-1"
"70","0","0","0","70","-1"
"70","20011","20011","20015","70","-1"
"70","20017","11090|11091|11092|11093|11094|11095|11096|11097|","0","20011","-1"
"70","22961","22961","0","20011","-1"
"71","0","0","0","71","-1"
"73","0","0","0","73","-1"
"76","0","0","0","76","-1"
"77","0","0","0","77","-1"
"78","0","0","0","78","-1"
"79","0","0","0","79","-1"
"86","0","0","0","86","-1"
"90","0","0","0","90","-1"
"90","25791","25791","0","90","-1"
"94","0","0","0","94","-1"
"95","11100","11100","0","95","-1"
"95","13320","13320","0","95","-1"
"95","13330","13330","0","95","-1"
"95","13340","13340","0","95","-1"
"95","13350","13350","0","95","-1"
"95","13360","13360","0","95","-1"
"95","13370","13370","0","95","-1"
"95","13380","13380","0","95","-1"
"95","13390","13390","0","95","-1"
"95","13400","13400","0","95","-1"
"95","13410","13410","0","95","-1"
"95","13420","13420","0","95","-1"
"95","13430","13430","0","95","-1"
"95","13440","13440","0","95","-1"
"95","13460","13460","0","95","-1"
"95","13470","13470","0","95","-1"
"95","13480","13480","0","95","-1"
"95","13490","13490","0","95","-1"
"95","13510","13510","0","95","-1"
"95","13540","13540","0","95","-1"
"95","14460","14460","0","95","-1"
"95","15240","15240","0","95","-1"
