ParameterID,DependentParameters
1001,
1003,
1005,
1006,
1009,
1010,
1011,
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2010,
3001,
3002,
3003,
3004,
3005,
4001,
4003,
4004,
4005,
4006,
4010,
5001,
5002,
5003,
5005,
5006,
5007,
5015,
10000,"10090,11430,11440"
10020,
10030,
10050,"12800"
10060,
10070,
10090,"10000,11430,11440"
10100,
10110,"10130,11390,10120,11820"
10120,"10130,10110,11390,11820"
10130,"10110,10120,11390,11820"
10170,
10200,
10210,
10220,
10230,"10280,10290"
10280,
10290,
10860,
10870,
10880,
10890,
10900,
11350,
11390,"10110,10130,10120,11820"
11410,
11420,
11430,"10000,10090,11440"
11440,"10000,10090,11430"
11450,"14250"
11470,
11570,
11680,
11690,
11700,
11710,
11720,
11730,"11690,11700,11710,11720"
11790,
11810,
11820,
11830,
12280,
12290,"12830,12840,12850,12925,12920"
12300,
12310,
12420,
12570,
12790,"20661"
12800,"10050"
12830,"12840,12920,12850,12925"
12840,"12830,12850,12925,12920"
12850,"12840,12830,12920,12925"
12860,
12870,
12880,
12920,
12925,
13030,"10000,10090,11430,11440,10050,12800,10060,10070,10200,22051"
13310,
14210,
14250,"11450"
20001,
20011,"10110,10130,10120,11390,11820,11570,11680,11690,11700,11710,11720,11730,11790,11810,11830,20101,21381,21391,21401"
20021,"10090,10000,11430,11440,10100,10870,10880,12420,20601,20611"
20051,"10170,20071,20081"
20061,"11430,10000,10090,11440"
20071,
20081,
20091,
20101,"11680,11690,11700,11710,11720,11730"
20131,"10230,10280,10290,10860"
20191,"10210,10220"
20221,"20091"
20601,"12420"
20611,
20651,"11350"
20661,
20761,
21181,
21301,
21381,"11830"
21391,
21401,
21781,"12280,12290,12830,12840,12850,12925,12920,12300,12310,12860,12870,12880,21791"
21791,
22051,"10050,12800"
