featureID,featureEnable,featureGTIS,SortBy
"1","21181|15343|24021|21651|","25275","-1"
"11","20021","20025","-1"
"128","21441","21445","-1"
"17","20601|12410|12420|12790|","23035","-1"
"20","20221","20225","-1"
"21","10020|11470|","23005","-1"
"23","11350|12490|14210|14130|20651|20661|21301|","23045","-1"
"26","20061","20065","-1"
"32","20051","20055","-1"
"33","20001|10030|","23105","-1"
"36","22351","22355","-1"
"39","20131","20135","-1"
"42","21841|","22775","-1"
"43","20011","20015","-1"
"44","21781","21785","-1"
"54","11450|14250|14050|13600|","23025","-1"
"55","10210|10220|","20195","-1"
"56","1001|1003|1005|1006|1009|1010|1011|2001|2002|2003|2004|2005|2006|2010|3005|3001|3002|3003|3004|4001|4003|4004|4005|4006|4010|2007|5001|5002|5003|5005|5006|5007|5015|","23255","-1"
"65","20761","20765","-1"
"66","21641","21645","-1"
"9","10000|10050|10060|10070|10890|10900|11420|10200|12800|13050|22051|","23015","-1"
"90","24051","24055","-1"
