featureID,featureEnable,featureGTIS,SortBy
"18","23031","23035","-1"
"20","20221","20225","-1"
"23","23041","23045","-1"
"27","23121","23125","-1"
"29","22291","22295","-1"
"31","23131","23135","-1"
"34","20011","20015","-1"
"39","20131","20135","-1"
"49","23111","23115","-1"
"5","20261","20265","-1"
"55","20191","20195","-1"
"553","20311","20315","-1"
"56","1001|1003|1005|1006|1009|1010|1011|2001|2002|2003|2004|2005|2006|2010|3005|3001|3002|3003|3004|2007|5001|5002|5003|5005|5006|5007|5015|4001|4010|4003|4004|4005|4006|","23255","-1"
"58","22311","22315","-1"
"8","22191","22195","-1"
