PC Date,PC Time (GMT),Feature Used,Action,Units of Measure,Tool Level,Connection Type,Module Type-Engine Marketing Name,Module Marketing Name,ToolInstance,OS Version,Install Language,INSITE Version,Error ID,Machine Name,
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","FaultDataProvider - Fault Code = 278 Fault Type = Active Fault Count = 2 Engine hours= 45240608","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","FaultDataProvider - Fault Code = 364 Fault Type = Active Fault Count = 1 Engine hours= 45240608","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","FaultDataProvider - Fault Code = 381 Fault Type = Active Fault Count = 2 Engine hours= 45240608","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","FaultDataProvider - Fault Code = 382 Fault Type = Active Fault Count = 2 Engine hours= 45240608","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","FaultDataProvider - Fault Code = 422 Fault Type = Active Fault Count = 1 Engine hours= 45240608","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","FaultDataProvider - Fault Code = 434 Fault Type = Active Fault Count = 1 Engine hours= 45240608","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","FaultDataProvider - ECMCode could not be read","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","FaultDataProvider - Calling - FCA - Tool ID = 15 Count = 11 Engine Serial Number = 56511287 CSS Job Id =  Engine Run Time = 45240608","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","FaultDataProvider - Responce From FCA Lib","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","FaultDataProvider - FCA - Version = 1 Transaction ID = 1 Algorithm = Basic","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","Offline:FaultDataProvider - Basic unprioritize Fault = 123","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","Offline:FaultDataProvider - Basic unprioritize Fault = 132","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","Offline:FaultDataProvider - Basic unprioritize Fault = 141","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","Offline:FaultDataProvider - Basic unprioritize Fault = 144","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","Offline:FaultDataProvider - Basic unprioritize Fault = 153","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","Offline:FaultDataProvider - Basic unprioritize Fault = 278","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","Offline:FaultDataProvider - Basic unprioritize Fault = 364","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","Offline:FaultDataProvider - Basic unprioritize Fault = 381","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","Offline:FaultDataProvider - Basic unprioritize Fault = 382","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","Offline:FaultDataProvider - Basic unprioritize Fault = 422","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","Offline:FaultDataProvider - Basic unprioritize Fault = 434","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","FaultDataProvider - faultAnalyzer memory cleaned successfully.","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","FaultDataProvider - FCA data with All faults in Unprioritized algorithm","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","FaultDataProvider - Parameters Read From ECM - CustomerName:                 Unit Number:            EngineSerialNumber: 56511287 EngineRunTime: 12566:50:08 EngineDistance: 335927.8","","","","","","","",""
"07-Aug-2025","01:08:50","Fault Data Provider","FCActivity","","Pro","FaultDataProvider - *********Package is Ready*******","","","","","","","",""
"07-Aug-2025","01:12:44","Guidanz Addin","GuidanzAddInActivity","","Pro","JxdilcwLiidc- -ZbfBih-hnhd{hi%$-7-N7QDcyhahnyQDC^DYHQZbfBih~QD ?=?8=5=; <4=58=<89","","","","","","","",""
"07-Aug-2025","01:12:47","Fault Codes","Open","","Pro","","","","","","","","",""
"07-Aug-2025","01:13:08","Data Monitor/Logger","Open","","Pro","","","","","","","","",""
"07-Aug-2025","01:13:55","Features and Parameters","Open","","Pro","","","","","","","","",""
"07-Aug-2025","01:15:34","J1939 Datalink Messages","Open","","Pro","","","","","","","","",""
"07-Aug-2025","01:15:39","OBD Monitors","Open","","Pro","","","","","","","","",""
"07-Aug-2025","01:15:52","Calibration Selection","Open","","Pro","","","","","","","","",""
"07-Aug-2025","01:16:08","Calibration Selection","Closed","","Pro","","","","","","","","",""
"07-Aug-2025","01:16:10","Calibration Selection","Open","","Pro","","","","","","","","",""
"07-Aug-2025","01:16:22","Advanced ECM Data","Open","","Pro","","","","","","","","",""
"07-Aug-2025","01:16:26","SAE J1939 Powertrain Control","Open","","Pro","","","","","","","","",""
"07-Aug-2025","01:49:25","SAE J1939 Powertrain Control","Closed","","Pro","","","","","","","","",""
"07-Aug-2025","01:49:25","Advanced ECM Data","Closed","","Pro","","","","","","","","",""
"07-Aug-2025","01:49:25","Work Orders","Closed","","Pro","","","","","","","","",""
"07-Aug-2025","01:49:28","Features and Parameters","Closed","","Pro","","","","","","","","",""
"07-Aug-2025","01:49:28","J1939 Datalink Messages","Closed","","Pro","","","","","","","","",""
"07-Aug-2025","01:49:29","Calibration Selection","Closed","","Pro","","","","","","","","",""
"07-Aug-2025","01:49:29","OBD Monitors","Closed","","Pro","","","","","","","","",""
"07-Aug-2025","01:49:29","Fault Codes","Closed","","Pro","","","","","","","","",""
"07-Aug-2025","01:49:29","Data Monitor/Logger","Closed","","Pro","","","","","","","","",""
"07-Aug-2025","01:49:29","ECM Connection","Disconnect","","Pro","USB-Link - J1939 - ","50 - ISB","CM550","","","","","",""
"07-Aug-2025","01:49:38","Guidanz Addin","GuidanzAddInActivity","","Pro","JxdilcwLiidc- -ZbfBih-hnhd{hi%$-7-N7QDcyhahnyQDC^DYHQZbfBih~QD ?=?8=5=; <494?4>?4","","","","","","","",""
"07-Aug-2025","01:49:39","Fault Data Provider","FCActivity","","Pro","FaultDataProvider - *******Connection Terminated Connection ID = 1","","","","","","","",""
"07-Aug-2025","01:49:39","Fault Data Provider","FCActivity","","Pro","FaultDataProvider - FaultPackageWorker::CleanUp() Call Finally","","","","","","","",""
"07-Aug-2025","01:49:39","INSITE","Closed","","Pro","","","","NA","Build 26100:Windows 10:","English","9.0.0.94 / Datapack 9.0.00094","","WINBLOWS"
PC Date,PC Time (GMT),Feature Used,Action,Units of Measure,Tool Level,Connection Type,Module Type-Engine Marketing Name,Module Marketing Name,ToolInstance,OS Version,Install Language,INSITE Version,Error ID,Machine Name,
"07-Aug-2025","14:03:43","Fault Data Provider","FCActivity","","NoLicense","FaultDataProvider - LoadDataplateParametersList:: Header =Defines the Dataplate parameters required by CSS","","","","","","","",""
"07-Aug-2025","14:03:50","INSITE","Open","","NoLicense","","","","NA","Build 26100:Windows 10:","English","9.0.0.94 / Datapack 9.0.00094","","WINBLOWS"
"07-Aug-2025","14:04:39","Fault Data Provider","FCActivity","","Pro","FaultDataProvider - *******Connection Established Connection id = 1","","","","","","","",""
"07-Aug-2025","14:04:39","Fault Data Provider","FCActivity","","Pro","FaultDataProvider - Calibration Download is Inprogress: False","","","","","","","",""
"07-Aug-2025","14:04:39","ECM Connection","Connect","","Pro","USB-Link - J1939 - ","50 - ISB","CM550","","","","","",""
