PC Date,PC Time (GMT),Feature Used,Action,Units of Measure,Tool Level,Connection Type,Module Type-Engine Marketing Name,Module Marketing Name,PCID,OS Version,Install Language,INSITE Version,Source,Error ID,Machine Name,
"15-Jan-2018","17:43:37","","","USA","NONE","","","","","","","","D","",""
"15-Jan-2018","17:45:17","","","USA","Basic","","","","","","","","D","",""
