PC Date,PC Time (GMT),Feature Used,Action,Units of Measure,Tool Level,Connection Type,Module Type-Engine Marketing Name,Module Marketing Name,PCID,OS Version,Install Language,INSITE Version,Source,Error ID,Machine Name,
"20-Jan-2018","12:16:08","Data Monitor/Logger","Open","USA","Pro","","","","","","","","","",""
"20-Jan-2018","12:40:27","","","USA","Pro","","","","","","","","","5201",""
"20-Jan-2018","13:24:35","ECM Connection","Disconnect","USA","Pro","USB-Link - J1939 - ","50 - ISB","Unavailable","","","","","","",""
"20-Jan-2018","13:24:39","","","USA","Pro","","","","","","","","","10411",""
"20-Jan-2018","13:25:33","ECM Connection","Connect","USA","Pro","USB-Link - J1939 - ","50 - ISB","CM550","","","","","","",""
"20-Jan-2018","13:26:23","Features and Parameters","Open","USA","Pro","","","","","","","","","",""
"20-Jan-2018","13:26:38","Advanced ECM Data","Open","USA","Pro","","","","","","","","","",""
"20-Jan-2018","13:26:47","Advanced ECM Data","Closed","USA","Pro","","","","","","","","","",""
"20-Jan-2018","13:26:47","Features and Parameters","Closed","USA","Pro","","","","","","","","","",""
"20-Jan-2018","13:26:47","Fault Codes","Closed","USA","Pro","","","","","","","","","",""
"20-Jan-2018","13:26:47","Data Monitor/Logger","Closed","USA","Pro","","","","","","","","","",""
"20-Jan-2018","13:26:47","ECM Connection","Disconnect","USA","Pro","USB-Link - J1939 - ","50 - ISB","CM550","","","","","","",""
"20-Jan-2018","13:27:02","INSITE","Closed","USA","Pro","","","","FA055D85","Build 9200::","English","7.6.0.272 ","A","","NameError45000"
PC Date,PC Time (GMT),Feature Used,Action,Units of Measure,Tool Level,Connection Type,Module Type-Engine Marketing Name,Module Marketing Name,PCID,OS Version,Install Language,INSITE Version,Source,Error ID,Machine Name,
"24-Jan-2018","15:52:27","INSITE","Open","USA","Pro","","","","FA055D85","Build 9200::","English","7.6.0.272 ","A","","NameError45000"
"24-Jan-2018","15:52:54","ECM Connection","Connect","USA","Pro","USB-Link - J1939 - ","50 - ISB","CM550","","","","","","",""
"24-Jan-2018","15:53:18","Features and Parameters","Open","USA","Pro","","","","","","","","","",""
"24-Jan-2018","20:37:37","Features and Parameters","Closed","USA","Pro","","","","","","","","","",""
"24-Jan-2018","20:37:37","ECM Connection","Disconnect","USA","Pro","USB-Link - J1939 - ","50 - ISB","CM550","","","","","","",""
"24-Jan-2018","20:39:02","INSITE","Closed","USA","Pro","","","","FA055D85","Build 9200::","English","7.6.0.272 ","A","","NameError45000"
PC Date,PC Time (GMT),Feature Used,Action,Units of Measure,Tool Level,Connection Type,Module Type-Engine Marketing Name,Module Marketing Name,PCID,OS Version,Install Language,INSITE Version,Source,Error ID,Machine Name,
"24-Jan-2018","20:42:10","INSITE","Open","USA","Pro","","","","FA055D85","Build 9200::","English","7.6.0.272 ","A","","NameError45000"
"24-Jan-2018","20:43:00","ECM Connection","Connect","USA","Pro","USB-Link - J1939 - ","50 - ISB","CM550","","","","","","",""
"24-Jan-2018","20:46:47","Features and Parameters","Open","USA","Pro","","","","","","","","","",""
"25-Jan-2018","04:57:51","","","USA","Pro","","","","","","","","","5200",""
"26-Jan-2018","16:18:14","Features and Parameters","Closed","USA","Pro","","","","","","","","","",""
"26-Jan-2018","16:18:14","ECM Connection","Disconnect","USA","Pro","USB-Link - J1939 - ","50 - ISB","CM550","","","","","","",""
"26-Jan-2018","16:18:29","INSITE","Closed","USA","Pro","","","","FA055D85","Build 9200::","English","7.6.0.272 ","A","","NameError45000"
PC Date,PC Time (GMT),Feature Used,Action,Units of Measure,Tool Level,Connection Type,Module Type-Engine Marketing Name,Module Marketing Name,PCID,OS Version,Install Language,INSITE Version,Source,Error ID,Machine Name,
"27-Aug-2025","21:16:42","INSITE","Open","USA","Pro","","","","FA055D85","Build 9200::","English","7.6.0.272 ","A","","NameError45000"
"27-Aug-2025","21:16:58","ECM Connection","Connect","USA","Pro","USB-Link - J1939 - ","50 - ISB","CM550","","","","","","",""
"27-Aug-2025","21:17:12","Features and Parameters","Open","USA","Pro","","","","","","","","","",""
"27-Aug-2025","21:17:38","Features and Parameters","Closed","USA","Pro","","","","","","","","","",""
"27-Aug-2025","21:17:38","ECM Connection","Disconnect","USA","Pro","USB-Link - J1939 - ","50 - ISB","CM550","","","","","","",""
"27-Aug-2025","21:17:53","INSITE","Closed","USA","Pro","","","","FA055D85","Build 9200::","English","7.6.0.272 ","A","","NameError45000"
PC Date,PC Time (GMT),Feature Used,Action,Units of Measure,Tool Level,Connection Type,Module Type-Engine Marketing Name,Module Marketing Name,PCID,OS Version,Install Language,INSITE Version,Source,Error ID,Machine Name,
"27-Aug-2025","23:15:13","INSITE","Open","USA","Pro","","","","FA055D85","Build 9200::","English","7.6.0.272 ","A","","NameError45000"
"27-Aug-2025","23:15:24","INSITE","Closed","USA","Pro","","","","FA055D85","Build 9200::","English","7.6.0.272 ","A","","NameError45000"
PC Date,PC Time (GMT),Feature Used,Action,Units of Measure,Tool Level,Connection Type,Module Type-Engine Marketing Name,Module Marketing Name,PCID,OS Version,Install Language,INSITE Version,Source,Error ID,Machine Name,
"27-Nov-2025","21:25:00","INSITE","Open","USA","Pro","","","","FA055D85","Build 9200::","English","7.6.0.272 ","A","","NameError45000"
"27-Nov-2025","21:25:18","INSITE","Closed","USA","Pro","","","","FA055D85","Build 9200::","English","7.6.0.272 ","A","","NameError45000"
