address,ref_count,range,tier,batch_id
0x003fd940,9,003fxxxx,in_window,52
0x003fea68,9,003fxxxx,clean,52
0x003fee50,9,003fxxxx,clean,52
0x003fcff8,9,003fxxxx,in_window,69
0x003fd0aa,9,003fxxxx,in_window,73
0x003fd0ca,9,003fxxxx,in_window,76
0x003fd134,9,003fxxxx,in_window,77
0x003fd164,9,003fxxxx,in_window,78
0x003fd1a6,9,003fxxxx,in_window,83
0x003fd209,9,003fxxxx,in_window,90
0x003fd211,9,003fxxxx,in_window,90
0x003fd219,9,003fxxxx,in_window,90
0x003fde48,9,003fxxxx,clean,103
0x003fe9b2,9,003fxxxx,clean,105
0x0040a5c8,8,0040xxxx,clean,0
0x0040b232,8,0040xxxx,clean,1
0x0040b236,8,0040xxxx,clean,1
0x0040b23a,8,0040xxxx,clean,1
0x0040b240,8,0040xxxx,clean,1
0x0040b532,8,0040xxxx,clean,1
0x0040b296,8,0040xxxx,clean,2
0x0040b2c4,8,0040xxxx,clean,2
0x00408dfc,8,0040xxxx,clean,4
0x00408e68,8,0040xxxx,clean,4
0x00408f4c,8,0040xxxx,clean,5
0x0040a44c,8,0040xxxx,clean,14
0x0040a792,8,0040xxxx,clean,22
0x0040aaa4,8,0040xxxx,clean,23
0x0040afe8,8,0040xxxx,clean,29
0x0040be36,8,0040xxxx,clean,29
0x0040b046,8,0040xxxx,clean,31
0x0040b340,8,0040xxxx,clean,43
0x0040b548,8,0040xxxx,clean,48
0x0040b58b,8,0040xxxx,clean,51
0x0040ba58,8,0040xxxx,clean,55
0x0040b8c0,8,0040xxxx,clean,59
0x003fb73c,8,003fxxxx,in_window,9
0x003fedce,8,003fxxxx,clean,10
0x003fbd66,8,003fxxxx,in_window,23
0x003fbdf0,8,003fxxxx,in_window,25
0x003fbdf4,8,003fxxxx,in_window,25
0x003fcd84,8,003fxxxx,in_window,35
0x003fcd86,8,003fxxxx,in_window,35
0x003fcd88,8,003fxxxx,in_window,35
0x003fcd8a,8,003fxxxx,in_window,35
0x003fcd8c,8,003fxxxx,in_window,35
0x003fcd8e,8,003fxxxx,in_window,36
0x003fcda0,8,003fxxxx,in_window,38
0x003fcdbc,8,003fxxxx,in_window,40
0x003fce04,8,003fxxxx,in_window,45
0x003fce0b,8,003fxxxx,in_window,45
0x003fce34,8,003fxxxx,in_window,49
0x003fcea4,8,003fxxxx,in_window,53
0x003fcefc,8,003fxxxx,in_window,58
