parameter,internal_name,address,size,unit,scale,description
Chry_Err35,,0x018A1319,1,HEX,1,"Chrysler DR Message $35 error for Misc. Engine Status, ECM Tx message"
Chry_Err37,,0x018A1221,1,HEX,1,"Chrysler DR Message $37 error for PRNDL Display, ECM Rx message"
Chry_Err3A,,0x018A1225,1,HEX,1,"Chrysler DR Message $3A error for Trans Gear/Lock-up Status, ECM Rx message"
Chry_Err3F,,0x018A132D,1,HEX,1,"Chrysler DR Message $3F error for Vehicle Theft Prevent Seed, ECM Tx message"
Chry_Err42,,0x018A1265,1,HEX,1,"Chrysler DR Message $42 error for Last Ign Off Duration, ECM Rx message"
Chry_Err4F10,,0x018A1340,1,HEX,1,"Chrysler DR Message $4F10 error for VTA Send Key Response, ECM Tx message"
Chry_Err4FC0,,0x018A122C,1,HEX,1,"Chrysler DR Message $4FC0 error for VTA SKIM request seed/key, ECM Rx message"
Chry_Err52,,0x018A124B,1,HEX,1,"Chrysler DR Message $52 error for A/C System Information, ECM Rx message"
Chry_Err5D,,0x018A1354,1,HEX,1,"Chrysler DR Message $5D error for Injector On time Fuel used, ECM Tx message"
Chry_Err63,,0x018A1231,1,HEX,1,"Chrysler DR Message $63 error for ABS/TC Warning Indication (Lamps), ECM Rx m"
Chry_Err6C,,0x018A123F,1,HEX,1,"Chrysler DR Message $6C,18 error for Transmission OBDII Status, ECM Rx message"
Chry_Err72,,0x018A1326,1,HEX,1,"Chrysler DR Message $72 error for Vehicle Odometer, ECM Tx message"
Chry_Err92,,0x018A1359,1,HEX,1,"Chrysler DR Message $92 error for Transfer Case Switch Status, ECM Tx message"
Chry_Err98,,0x018A1237,1,HEX,1,"Chrysler DR Message $98 error for for General Trans. Status, ECM Rx"
Chry_ErrA4,,0x018A135D,1,HEX,1,"Chrysler DR Message $A4 error for Fuel Tank % Full, ECM Tx message"
Chry_ErrB0,,0x018A131F,1,HEX,1,"Chrysler DR Message $B0 error for MIL Malfunc Indicator Lamp, ECM Tx message"
Chry_ErrB1,,0x018A1260,1,HEX,1,"Chrysler DR Message $B1 error for SKIM Theft Status, ECM Rx message"
Chry_ErrB5,,0x018A1243,1,HEX,1,"Chrysler DR Message $B5 error for Vehicle Theft Status, ECM Rx message"
Chry_ErrC0,,0x018A1364,1,HEX,1,"Chrysler DR Message $C0 error for Engine Gauge Data, ECM Tx message"
Chry_ErrD1,,0x018A137B,1,HEX,1,"Chrysler DR Message $D1 error for Engine Misc. Sensor, ECM Tx message"
Chry_ErrD2,,0x018A1374,1,HEX,1,"Chrysler DR Message $D2 error for Baro, Air Charge, Misc?, ECM Tx message"
Chry_ErrDF,,0x018A136D,1,HEX,1,"Chrysler DR Message $DF error for Accumulated Mileage, ECM Tx message"
Chry_ErrEA,,0x018A1247,1,HEX,1,"Chrysler DR Message $EA error for Trans Oil Temperature, ECM Rx message"
Chry_ErrED,,0x018A1383,1,HEX,1,"Chrysler DR Message $ED error for Fuel Sys/Eng/Veh.type Info, ECM Tx message"
Chry_ErrF0_01,,0x018A1387,1,HEX,1,"Chrysler DR Message $F0,01 error for VIN Data 1st Message, ECM Tx message"
Chry_ErrF0_02,,0x018A138E,1,HEX,1,"Chrysler DR Message $F0,02 error for VIN Data 2nd Message, ECM Tx message"
Chry_ErrF0_06,,0x018A1395,1,HEX,1,"Chrysler DR Message $F0,06 error for VIN Data 3rd Message, ECM Tx message"
Chry_ErrF0_0A,,0x018A139C,1,HEX,1,"Chrysler DR Message $F0,0A error for VIN Data 4th Message, ECM Tx message"
Chry_ErrF0_0E,,0x018A13A3,1,HEX,1,"Chrysler DR Message $F0,0E error for VIN Data 5th Message, ECM Tx message"
Chry_ErrGage,,0x018A1314,1,HEX,1,"Chrysler DR Message error for engine Gage Chime Status, ECM Tx message"
Chry_ErrOBD,,0x018A130D,1,HEX,1,"Chrysler DR Message error for OBD Status, ECM Tx message"
Chry_ErrOSS,,0x018A124E,1,HEX,1,"Chrysler DR Message $TBD error for Transmission Output Shaft Speed, ECM Rx me"
Chry_Ifr16,,0x018A13AC,2,HEX,1,"Chrysler DR Message $16 IFR for TRD Link Status, ECM Tx message"
Chry_IfrB0,,0x018A13AE,2,HEX,1,"Chrysler DR Message $B0 IFR for MIL Malfunc Indicator Lamp, ECM Tx message"
Chry_J1850_Body_Style,,0x018A0D0B,1,HEX,1,Calibration for J1850 message $ED byte 6 information.
Chry_J1850_Engine_Type_Sales,,0x018A0D0A,1,HEX,1,Calibration for J1850 message $ED byte 5 information.
Chry_MIL_Check_Flash_Time,,0x018B1C04,2,MSEC,100,Length of time for the MIL light to stay on at key on.
Chry_Txdata_Len,,0x018A1301,1,UNITLESS,1,Length Variable of the Chrysler J2190 transmit messages
Chrysler_Park_Neutral_Flag,,0x01109E08,2,UNITLESS,1,True indicates auto trans in park or neutral
Chrysler_SCI_Data_Plate,SIDX01,0x01127500,32,HEX,1,[SIDX01] SCI 2A command data plate table
Chrysler_Status,SIFHSS,0x01129606,2,HEX,1,[SIFHSS] Bit-mapped parameter per Chrysler requirements
Cluster_Check_Gauges_Lamp,,0x018B2E02,2,UNITLESS,1,Set to TRUE to have J1850 light lamp
Cluster_Warning_Chime_Duration,,0x018B2D04,2,SEC,0.1,The duration of the slow warning chime in seconds
Cluster_Warning_Chime_Request,,0x018B2E00,2,UNITLESS,1,Set to TRUE to have J1850 activate cluster chime
Clutch_Switch,DSCHSWSS,0x01161201,1,UNITLESS,0080,"[DSCHSWSS] Debounced value of the clutch switch input. Byte 1, bit 7."
Clutch_Switch_Global_Default,,0x01157101,1,UNITLESS,0080,Clutch_Switch feedback global default value.
Clutch_Switch_Inversion,,0x01157201,1,UNITLESS,0080,Indicates activation of Clutch_Switch is inverted logic.
Clutch_Switch_Is_Refreshed,,0x01156101,1,UNITLESS,0080,Indicates whether Clutch_Switch data is fresh.
Clutch_Switch_Map,,0x0115731E,2,UNITLESS,1.0,Hardware resource assignment for Clutch_Switch.
Clutch_Switch_Priority,,0x0112A80F,1,UNITLESS,1.0,Current override priority for Clutch_Switch.
Clutch_Switch_Raw,,0x01157401,1,UNITLESS,0080,Clutch_Switch before debounce after invert.
Clutch_Switch_Source_Address_Enable,MXCHSWSA,0x0112E815,1,HEX,1.0,[MXCHSWSA] Source Address allowed for MUXing Clutch Switch parameter
Clutch_Switch_User_Override,,0x01157501,1,UNITLESS,0080,Enable flag which override of Clutch_Switch.
Clutch_Switch_User_Value,,0x01157601,1,UNITLESS,0080,User override value for Clutch_Switch.
Coast_Accel_Timer,,0x018A0E02,2,SEC,0.040,Amount of time bump must be held before transitioning to coast/accel
Cold_Delta_Fuel,,0x018A9F00,2,MM3S,0.06793478400,"Amount of fuel to add to AFC,torq curv based on RPM and clt temp"
Cold_Delta_Fuel_Speed_Axis,,0x018AA100,2,RPM,0.125,Y axis of Cold_Delta_Fuel_Table; ENGRPM
Cold_Delta_Fuel_Table,,0x018AA200,2,MM3S,0.06793478400,Z axis of Cold_Delta_Fuel_Table; fueling
Cold_Delta_Fuel_Temp_Axis,,0x018AA000,2,DEG_F,0.015625,X axis of Cold_Delta_Fuel_Table; Coolant_Temperature
Cold_Idle_Coolant_Temperature,LSCICLTP,0x0114EE00,2,DEG_F,0.015625,"[LSCICLTP] If coolant temp less than this, increment cold idle timer"
Cold_Idle_Time,LSCITMLM,0x0114EE02,2,SEC,0.02,"[LSCITMLM] Amount of time cold idle based speed is in effect;if=0,no time limit"
Cold_Start_Aid_1_Driver,,0x01157705,1,UNITLESS,0008,Desired state of the Cold_Start_Aid_1_Driver output driver.
Cold_Start_Aid_1_Driver_Feedback,,0x01161201,1,UNITLESS,0002,Desired state of the Cold_Start_Aid_1_Driver_Feedback output driver.
Cold_Start_Aid_1_Driver_Feedback_Global_Default,,0x01157101,1,UNITLESS,0002,Cold_Start_Aid_1_Driver_Feedback feedback global default value.
Cold_Start_Aid_1_Driver_Feedback_Inversion,,0x01157201,1,UNITLESS,0002,Indicates activation of Cold_Start_Aid_1_Driver_Feedback is inverted logic.
Cold_Start_Aid_1_Driver_Feedback_Is_Refreshed,,0x01156101,1,UNITLESS,0002,Indicates whether Cold_Start_Aid_1_Driver_Feedback data is fresh.
Cold_Start_Aid_1_Driver_Feedback_Map,,0x01157312,2,UNITLESS,1.0,Hardware resource assignment for Cold_Start_Aid_1_Driver_Feedback.
Cold_Start_Aid_1_Driver_Feedback_Priority,,0x0112A809,1,UNITLESS,1.0,Current override priority for Cold_Start_Aid_1_Driver_Feedback.
Cold_Start_Aid_1_Driver_Feedback_Raw,,0x01157401,1,UNITLESS,0002,Cold_Start_Aid_1_Driver_Feedback before debounce after invert.
Cold_Start_Aid_1_Driver_Feedback_User_Override,,0x01157501,1,UNITLESS,0002,Enable flag which override of Cold_Start_Aid_1_Driver_Feedback.
Cold_Start_Aid_1_Driver_Feedback_User_Value,,0x01157601,1,UNITLESS,0002,User override value for Cold_Start_Aid_1_Driver_Feedback.
Cold_Start_Aid_1_Driver_Inversion,,0x01157805,1,UNITLESS,0008,Indicates activation of Cold_Start_Aid_1_Driver is inverted logic.
Cold_Start_Aid_1_Driver_Map,,0x01157956,2,UNITLESS,1.0,Hardware resource assignment for Cold_Start_Aid_1_Driver.
Cold_Start_Aid_1_Driver_Override,,0x018B5B06,1,UNITLESS,1,Cold_Start_Aid_1_Driver override enable/disable
Cold_Start_Aid_1_Driver_Override_N,,0x018B5B06,1,UNITLESS,1,Cold_Start_Aid_1_Driver override enable/disable
Cold_Start_Aid_1_Driver_PWM_Control_Status,,0x01156900,2,UNITLESS,1000,Cold_Start_Aid_1_Driver_PWM OS control error status flag
Cold_Start_Aid_1_Driver_PWM_Duty_Cycle,,0x01151C18,2,%,0.00390625,Cold_Start_Aid_1_Driver_PWM duty cycle for monitoring.
Cold_Start_Aid_1_Driver_PWM_Map,,0x01156518,2,UNITLESS,1.0,Cold_Start_Aid_1_Driver_PWM mapping index to HW channel
Cold_Start_Aid_1_Driver_PWM_Period,,0x01152730,4,uSEC,1.0,Cold_Start_Aid_1_Driver_PWM period in us for monitoring.
Cold_Start_Aid_1_Driver_Previous_Command,,0x01157A05,1,UNITLESS,0008,Cold_Start_Aid_1_Driver previous ON/OFF software command.
Cold_Start_Aid_1_Driver_Priority,,0x0112A72B,1,UNITLESS,1.0,Current override priority for Cold_Start_Aid_1_Driver.
Cold_Start_Aid_1_Driver_User_Value,,0x018B5B07,1,UNITLESS,1,Cold_Start_Aid_1_Driver override value
Cold_Start_Aid_1_Driver_User_Value_N,,0x018B5B07,1,UNITLESS,1,Cold_Start_Aid_1_Driver override value
Cold_Start_Aid_1_High_Control_Error,,0x01103624,2,UNITLESS,0080,Set true if Cold_Start_Aid_1_Driver is shorted to battery.
Cold_Start_Aid_1_Low_Control_Error,,0x01103624,2,UNITLESS,0040,Set true if Cold_Start_Aid_1_Driver is shorted to battery.
Cold_Start_Aid_2_Driver,,0x01157705,1,UNITLESS,0010,Desired state of the Cold_Start_Aid_2_Driver output driver.
Cold_Start_Aid_2_Driver_Feedback,,0x01161201,1,UNITLESS,0004,Desired state of the Cold_Start_Aid_2_Driver_Feedback output driver.
Cold_Start_Aid_2_Driver_Feedback_Global_Default,,0x01157101,1,UNITLESS,0004,Cold_Start_Aid_2_Driver_Feedback feedback global default value.
Cold_Start_Aid_2_Driver_Feedback_Inversion,,0x01157201,1,UNITLESS,0004,Indicates activation of Cold_Start_Aid_2_Driver_Feedback is inverted logic.
Cold_Start_Aid_2_Driver_Feedback_Is_Refreshed,,0x01156101,1,UNITLESS,0004,Indicates whether Cold_Start_Aid_2_Driver_Feedback data is fresh.
Cold_Start_Aid_2_Driver_Feedback_Map,,0x01157314,2,UNITLESS,1.0,Hardware resource assignment for Cold_Start_Aid_2_Driver_Feedback.
Cold_Start_Aid_2_Driver_Feedback_Priority,,0x0112A80A,1,UNITLESS,1.0,Current override priority for Cold_Start_Aid_2_Driver_Feedback.
Cold_Start_Aid_2_Driver_Feedback_Raw,,0x01157401,1,UNITLESS,0004,Cold_Start_Aid_2_Driver_Feedback before debounce after invert.
Cold_Start_Aid_2_Driver_Feedback_User_Override,,0x01157501,1,UNITLESS,0004,Enable flag which override of Cold_Start_Aid_2_Driver_Feedback.
Cold_Start_Aid_2_Driver_Feedback_User_Value,,0x01157601,1,UNITLESS,0004,User override value for Cold_Start_Aid_2_Driver_Feedback.
Cold_Start_Aid_2_Driver_Inversion,,0x01157805,1,UNITLESS,0010,Indicates activation of Cold_Start_Aid_2_Driver is inverted logic.
Cold_Start_Aid_2_Driver_Map,,0x01157958,2,UNITLESS,1.0,Hardware resource assignment for Cold_Start_Aid_2_Driver.
Cold_Start_Aid_2_Driver_Override,,0x018B5B08,1,UNITLESS,1,Cold_Start_Aid_2_Driver override enable/disable
Cold_Start_Aid_2_Driver_Override_N,,0x018B5B08,1,UNITLESS,1,Cold_Start_Aid_2_Driver override enable/disable
Cold_Start_Aid_2_Driver_PWM_Control_Status,,0x01156900,2,UNITLESS,2000,Cold_Start_Aid_2_Driver_PWM OS control error status flag
Cold_Start_Aid_2_Driver_PWM_Duty_Cycle,,0x01151C1A,2,%,0.00390625,Cold_Start_Aid_2_Driver_PWM duty cycle for monitoring.
Cold_Start_Aid_2_Driver_PWM_Map,,0x0115651A,2,UNITLESS,1.0,Cold_Start_Aid_2_Driver_PWM mapping index to HW channel
Cold_Start_Aid_2_Driver_PWM_Period,,0x01152734,4,uSEC,1.0,Cold_Start_Aid_2_Driver_PWM period in us for monitoring.
Cold_Start_Aid_2_Driver_Previous_Command,,0x01157A05,1,UNITLESS,0010,Cold_Start_Aid_2_Driver previous ON/OFF software command.
Cold_Start_Aid_2_Driver_Priority,,0x0112A72C,1,UNITLESS,1.0,Current override priority for Cold_Start_Aid_2_Driver.
Cold_Start_Aid_2_Driver_User_Value,,0x018B5B09,1,UNITLESS,1,Cold_Start_Aid_2_Driver override value
Cold_Start_Aid_2_Driver_User_Value_N,,0x018B5B09,1,UNITLESS,1,Cold_Start_Aid_2_Driver override value
Cold_Start_Aid_2_High_Control_Error,,0x01103624,2,UNITLESS,0200,Set true if Cold_Start_Aid_2_Driver is shorted to battery.
Cold_Start_Aid_2_Low_Control_Error,,0x01103624,2,UNITLESS,0100,Set true if Cold_Start_Aid_2_Driver is shorted to battery.
Collector_Center_Address,,0x0100340C,4,HEX,1,Logical address canter value stored to the data collector buffer
Collector_Enable,,0x01106B02,2,UNITLESS,100,Bit 8 of 0-15. EEPROM indicator set by tools to enable data collector operation
Collector_End_Address,,0x01003510,4,HEX,1,Logical address of the last value stored to the data collector buffer
Collector_Multiple,,0x01003A06,2,UNITLESS,1,Value indicating 20 msec multiple for data collection
Collector_Schedule,,0x01002F00,2,UNITLESS,1,Flag used by operating system scheduler to process the data collector
Collector_Start_Address,,0x01003308,4,HEX,1,Logical beginning address of the data collector buffer
Collector_Status,,0x01003614,2,UNITLESS,1,"Indicator of when the data_collector is collecting data, not collecting data or"
Collector_Stop_Mode,,0x01003004,2,UNITLESS,1,data collector stop flag
Collector_Table,,0x01003B00,4,HEX,1,Table to be collected by the data collector
Collector_Table_Address,,0x01003716,4,HEX,1,Table of addresses to be collected by the data collector
Collector_Trigger,,0x01003902,2,UNITLESS,1,activates/deactivates collection of data
Combined_Emissions_State,,0x01808624,4,HEX,1,"States Pilot_SOI_%, Pilot_Fuel_%, HPCR_Fuelpr_Setpoint_%, Final_Timing_%"
Combined_Emissions_State_2,,0x0180C418,4,HEX,1,"States: NULL, Aux_SOI_%, Aux_Quantity_%, Fueling_Control_%"
Command_Security_Flags,JCCZSUFG,0x0110E31A,4,UNITLESS,1,[JCCZSUFG] bit-mapped parameter determining access restriction of commands
Commanded_Throttle,THROTTLE,0x01104700,2,%THROTTLE,0.25,[THROTTLE] VALIDATED PERCENT THROTTLE COMMANDED BY DRIVER
Commanded_Throttle_Actual,,0x018B0402,2,%,0.25,"actual commanded throttle, event if sensor is failed"
Commanded_Throttle_High_Default,,0x018B0304,2,%,0.25,commanded throttle default when sensor is failed OOR high
Commanded_Throttle_Low_Default,,0x018B0306,2,%,0.25,commanded throttle default when sensor is failed OOR low
Commanded_Throttle_Source_Address_Enable,MXCMTHSA,0x0112E80D,1,HEX,1.0,[MXCMTHSA] Source Address allowed for MUXing Commmanded Throttle parameter
Compressor_Inlet_Density,,0x0118E800,2,LBM/FT3,6.103515625e-5,Current density of air at compressor inlet
Compressor_Inlet_Density_Source,,0x0118E802,2,UNITLESS,0003,Compressor inlet density source quality
Compressor_Inlet_Press,,0x0119210A,2,IN_HG,0.0159064138077,Compressor_Inlet_Pressure
Compressor_Inlet_Press_Source,,0x0119210C,2,UNITLESS,FF,"Source, DEFAULT or PRIMARY, indicator for Compressor Inlet Pressure."
Compressor_Inlet_Pressure_Drop,,0x0119210E,2,IN_HG,0.0159062501,Pressure drop from ambient to compressor inlet
Compressor_Inlet_Pressure_Map,,0x01151FB2,2,UNITLESS,1,Turbo_Compressor_Inlet_Pressure mapping index to HW channel
Compressor_Inlet_Pressure_Ratio_Supply_ID,,0x01193AB2,2,UNITLESS,1,Turbo_Compressor_Inlet_Pressure mapping index to Sensor Supply ID
Compressor_Inlet_Temperature_Map,,0x01151FB6,2,UNITLESS,1,Compressor_Inlet_Temperature mapping index to HW channel
Compressor_Inlet_Temperature_Ratio_Supply_ID,,0x01193AB6,2,UNITLESS,1,Compressor_Inlet_Temperature mapping index to Sensor Supply ID
Compressor_Inlet_Tmptr,,0x011A0C00,2,DEG_F,0.015625,Ambient Air Temperature
Compressor_Inlet_Tmptr_Default,,0x0119661C,2,DEG_F,0.015625,Compressor_Inlet_Tmptr_Sensor global default value
Compressor_Inlet_Tmptr_Rise,,0x01192110,2,DEG_F,0.015625,Temperature rise from ambient to compressor inlet
Compressor_Inlet_Tmptr_Sensor,,0x01196610,2,DEG_F,0.015625,Ambient_Air_Temperature raw value linearized and filtered
Compressor_Inlet_Tmptr_Source,,0x011A0C02,2,UNITLESS,FF,"Source, BACKUP, DEFAULT or PRIMARY, indicator for Compressor Inlet Temperature."
Compressor_Inlet_Tmptr_State,,0x011A0C04,2,UNITLESS,FFFF,Compressor Inlet Temperature State
Compressor_Inlet_Tmptr_State,,0x011A0C04,2,UNITLESS,FFFF,Compressor Inlet Temperature State
Compressor_Inlet_Tmptr_Status,,0x01196302,2,UNITLESS,FFFF,Compressor Inlet Tmptr Status
Compressor_Inlet_Tmptr_Status,,0x01196302,2,UNITLESS,FFFF,Compressor Inlet Tmptr Status
Compressor_Outlet_Temperature,,0x01191B0C,2,DEG_F,0.03125,Compressor_Outlet_Temperature virtual sensor value
Compressor_Outlet_Temperature_Map,,0x01151FB8,2,UNITLESS,1,Compressor_Outlet_Temperature mapping index to HW channel
Compressor_Outlet_Temperature_Ratio_Supply_ID,,0x01193AB8,2,UNITLESS,1,Compressor_Outlet_Temperature mapping index to Sensor Supply ID
Compressor_Outlet_Tmptr,,0x01175F08,2,DEG_F,.03125,Compressor_Outlet_Temperature after all post-processing
Compressor_Outlet_Tmptr_Source,,0x01175F0A,2,UNITLESS,FF,Compressor outlet temperature source quality indicator
Confidence_Band,CTCB,0x0110480A,2,%THROTTLE,0.25,[CTCB] confidence range to allow for noise in Throttle_Min logic
Coolant_Fuel_Adjust_Table,NLCLFLYA,0x01109B00,2,MM3S,0.06793478400,[NLCLFLYA] Coolant temperature based fuel adjustment to no load fuel
Coolant_Fuel_Adjustment,CLFLAJ,0x01109C04,2,MM3S,0.06793478400,[CLFLAJ] Friction fuel adjustment due to coolant temperature
Coolant_Fuel_Bkpt,NLCLFLXA,0x01109A00,2,DEG_F,0.015625,[NLCLFLXA] Coolant temperature adjustment breakpoint table for no load fuel
Coolant_Level_Data_Noderate_Enable,EPCVDXEN,0x01106B36,2,UNITLESS,1,[EPCVDXEN] Bit 0 of 0-15. EPF Coolant Level enable for history only data.
Coolant_Level_Fueling_Limiting_Enable,EPCVFLEN,0x01106B10,2,UNITLESS,1,[EPCVFLEN] BIT 0 OF 0-15. ENABLE PARAMETER FOR FUEL LIMITING DUE TO COOLANT LEVEL.
Coolant_Level_Map,,0x01151F5C,2,UNITLESS,1.0,Coolant_Level mapping index to HW channel
Coolant_Level_RPM_Limiting_Enable,EPCVRPEN,0x01106B10,2,UNITLESS,2,[EPCVRPEN] BIT 1 OF 0-15. ENABLE PARAMETER FOR RPM LIMITING DUE TO COOLANT LEVEL.
Coolant_Level_Ratio_Supply_ID,,0x01193A5C,2,UNITLESS,1.0,Coolant_Level mapping index to Sensor Supply ID
Coolant_Level_Restart_Enable,EPCVRYEN,0x01106B10,2,UNITLESS,8,[EPCVRYEN] B3. PREVENTS RESTART AT POWERUP WHEN SHUTDN CNT > MAX SHUTDN CNT DUE TO CLT LEV
Coolant_Level_Shutdown_Enable,EPCVSOEN,0x01106B10,2,UNITLESS,4,[EPCVSOEN] BIT 2 OF 0-15. ENABLE SHUTDOWN ON COOLANT LEVEL ERRORS.
Coolant_Pressure_Map,,0x01151F26,2,UNITLESS,1.0,Coolant_Pressure mapping index to HW channel
Coolant_Pressure_Ratio_Supply_ID,,0x01193A26,2,UNITLESS,1.0,Coolant_Pressure mapping index to Sensor Supply ID
Coolant_Temperature,ADFTCLTP,0x01151504,2,DEG_F,0.015625,[ADFTCLTP] Coolant_Temperature raw value linearized and filtered
Coolant_Temperature_AD_Enable,,0x01153200,2,UNITLESS,0004,Enable bit for the Coolant_Temperature sensor.
Coolant_Temperature_Actual,,0x018B0404,2,DEG_F,0.015625,"actual coolant temperature, even if sensor is failed"
Coolant_Temperature_Data_Noderate_Enable,EPCQDXEN,0x01106B36,2,UNITLESS,2,[EPCQDXEN] Bit 1 of 0-15. EPF coolant temperature enable for history only data.
Coolant_Temperature_Fault_Clear,ADCLTPCC,0x0114BD0E,2,CNTS,1.0,[ADCLTPCC] Coolant_Temperature_Fault_Count when error cleared
Coolant_Temperature_Fault_Count,,0x0114BE04,2,CNTS,1.0,Coolant_Temperature out of range error count
Coolant_Temperature_Fault_Decrement,ADCLTPDT,0x0114BD0A,2,CNTS,1.0,[ADCLTPDT] Coolant_Temperature decrement value for setting error
Coolant_Temperature_Fault_Increment,ADCLTPIC,0x0114BD08,2,CNTS,1.0,[ADCLTPIC] Coolant_Temperature increment value for setting error
Coolant_Temperature_Fault_Set,ADCLTPSE,0x0114BD0C,2,CNTS,1.0,[ADCLTPSE] Coolant_Temperature_Fault_Count when error set
Coolant_Temperature_Filter_Constant,ADCLTPCS,0x0114BD00,2,UNITLESS,0.0000152587890,[ADCLTPCS] Coolant_Temperature AD Filter Constant
Coolant_Temperature_Fueling_Limiting_Enable,EPCQFLEN,0x01106B10,2,UNITLESS,10,[EPCQFLEN] Bit 4 of 0-15. Enable parameter for fuel limiting due to coolant temperature.
Coolant_Temperature_Gauge_Control_Status,,0x01156900,2,UNITLESS,0080,Coolant_Temperature_Gauge OS control error status flag
Coolant_Temperature_Gauge_Duty_Cycle,,0x01151C0E,2,%,0.00390625,Coolant_Temperature_Gauge duty cycle for monitoring.
Coolant_Temperature_Gauge_Map,,0x0115650E,2,UNITLESS,1.0,Coolant_Temperature_Gauge mapping index to HW channel
Coolant_Temperature_Gauge_Period,,0x0115271C,4,uSEC,1.0,Coolant_Temperature_Gauge period in us for monitoring.
Coolant_Temperature_Global_Default,ADDFCLTP,0x0114BD02,2,DEG_F,0.015625,[ADDFCLTP] Coolant_Temperature AD global default value
Coolant_Temperature_High_Default,,0x018B0308,2,DEG_F,0.015625,coolant temperature default when sensor is failed OOR high
Coolant_Temperature_High_Error,ADCLTPHE,0x01103602,2,UNITLESS,0001,[ADCLTPHE] Coolant_Temperature High Error Indication
Coolant_Temperature_High_Limit,ADCLTPHL,0x0114BD04,2,CNTS,1.0,[ADCLTPHL] Coolant_Temperature high limit for the raw value
Coolant_Temperature_In_Range_Error,,0x01103632,2,UNITLESS,2,coolant temperature sensor in-range error
Coolant_Temperature_Init_Default,,0x018B2B00,2,UNITLESS,0004,Raw or default init bit for the Coolant_Temperature sensor.
Coolant_Temperature_Is_Refreshed,,0x01156000,2,UNITLESS,0004,Coolant_Temperature raw data refreshed flag.
Coolant_Temperature_Low_Default,,0x018B030A,2,DEG_F,0.015625,coolant temperature default when sensor is failed OOR high
Coolant_Temperature_Low_Error,ADCLTPLE,0x01103602,2,UNITLESS,0002,[ADCLTPLE] Coolant_Temperature High Error Indication
Coolant_Temperature_Low_Limit,ADCLTPLL,0x0114BD06,2,CNTS,1.0,[ADCLTPLL] Coolant_Temperature low limit for the raw value
Coolant_Temperature_Map,,0x01151F04,2,UNITLESS,1.0,Coolant_Temperature mapping index to HW channel
Coolant_Temperature_Override,ADCLTPOD,0x01153300,2,UNITLESS,0004,[ADCLTPOD] Filtered value override bit for the Coolant_Temperature sensor.
Coolant_Temperature_Priority,ADCLPZ,0x0114BE08,1,UNITLESS,1.0,[ADCLPZ] Coolant_Temperature mux override priority
Coolant_Temperature_RPM_Limiting_Enable,EPCQRPEN,0x01106B10,2,UNITLESS,20,[EPCQRPEN] BIT 5 OF 5-15. EPF COOLANT TEMPERATURE RPM LIMITING ENABLE.
Coolant_Temperature_Ratio_Supply_ID,,0x01193A04,2,UNITLESS,1.0,Coolant_Temperature mapping index to Sensor Supply ID
Coolant_Temperature_Raw,ADRWCLTP,0x0114BE00,2,CNTS,1.0,[ADRWCLTP] Coolant_Temperature sampled raw value
Coolant_Temperature_Raw_Adjusted,,0x0114BE0A,2,CNTS,1.0,Coolant_Temperature adjusted raw value
Coolant_Temperature_Raw_Override,ADCQRWOD,0x01153400,2,UNITLESS,0004,[ADCQRWOD] Enable bit for the Coolant_Temperature sensor.
Coolant_Temperature_Raw_Priority,ADCLRWPZ,0x01152002,1,UNITLESS,1.0,[ADCLRWPZ] Coolant_Temperature current raw override priority
Coolant_Temperature_Raw_User_Value,ADCQRWUV,0x01152904,2,UNITLESS,1.0,[ADCQRWUV] Coolant_Temperature raw override user value
Coolant_Temperature_Restart_Enable,EPCQRYEN,0x01106B10,2,UNITLESS,80,[EPCQRYEN] BIT 7 OF 0-15. PREVENTS RESTART AT POWERUP WHEN SHUTDN CNT > MAX SHUTDN CNT DUE
Coolant_Temperature_Shutdown_Enable,EPCQSOEN,0x01106B10,2,UNITLESS,40,[EPCQSOEN] BIT 6 OF 0-15. ENABLE SHUTDOWN ON COOLANT TEMPERATURE ERRORS.
Coolant_Temperature_Unfiltered,ADUFCLTP,0x0114BE02,2,DEG_F,0.015625,[ADUFCLTP] Coolant_Temperature raw value linearized but unfiltered
Coolant_Temperature_User_Value,ADUOCLTP,0x0114BE06,2,DEG_F,0.015625,[ADUOCLTP] Coolant_Temperature Filtered Value User Value
Coolant_Temperature_X_Axis,ADCLTPXA,0x01101400,2,CNTS,1.0,[ADCLTPXA] Coolant_Temperature AD Breakpoint Table
Coolant_Temperature_Y_Axis,ADCLTPYA,0x01101300,2,DEG_F,0.015625,[ADCLTPYA] Coolant_Temperature Lookup Output Table
Coolant_Tmptr,,0x0119C200,2,DEG_F,0.015625,Post processed Coolant_Temperature
Coolant_Tmptr_Default,,0x0119662E,2,DEG_F,0.015625,Coolant_Tmptr_Sensor global default value
Coolant_Tmptr_Sensor,,0x01196608,2,DEG_F,0.015625,Coolant_Temperature raw value linearized and filtered
Coolant_Tmptr_Source,,0x0119C202,2,UNITLESS,FF,"Coolant Tmptr Source: 0=PRIMARY, 1=BACKUP, 2=DEFAULT."
Coolant_Tmptr_State,,0x0119C204,2,UNITLESS,FFFF,Coolant Temperature State
Coolant_Tmptr_State,,0x0119C204,2,UNITLESS,FFFF,Coolant Temperature State
Coolant_Tmptr_Status,,0x01196314,2,UNITLESS,FFFF,Coolant Temperature Status
