parameter,internal_name,address,size,unit,scale,description
AC_Low_Pressure_On,,0x018A1418,2,PSI,0.0078125,"If AC_Pressure greater than this value, ac driver can be turned on"
AC_Low_RPM_Off,,0x018A141A,2,RPM,0.125,"If RPM less than this value, ac driver will be turned off"
AC_Low_RPM_On,,0x018A141C,2,RPM,0.125,"If RPM greater than this value, ac driver can be turned on"
AC_Low_RPM_On_Time,,0x018A141E,2,SEC,0.1,AC driver can be turned on if RPM>AC_Low_RPM_On for AC_Low_RPM_On_Time
AC_On_Off_Switch,,0x01161201,1,UNITLESS,0020,Desired state of the AC_On_Off_Switch output driver.
AC_On_Off_Switch_Global_Default,,0x01157101,1,UNITLESS,0020,AC_On_Off_Switch feedback global default value.
AC_On_Off_Switch_Inversion,,0x01157201,1,UNITLESS,0020,Indicates activation of AC_On_Off_Switch is inverted logic.
AC_On_Off_Switch_Is_Refreshed,,0x01156101,1,UNITLESS,0020,Indicates whether AC_On_Off_Switch data is fresh.
AC_On_Off_Switch_Map,,0x0115731A,2,UNITLESS,1.0,Hardware resource assignment for AC_On_Off_Switch.
AC_On_Off_Switch_Priority,,0x0112A80D,1,UNITLESS,1.0,Current override priority for AC_On_Off_Switch.
AC_On_Off_Switch_Raw,,0x01157401,1,UNITLESS,0020,AC_On_Off_Switch before debounce after invert.
AC_On_Off_Switch_User_Override,,0x01157501,1,UNITLESS,0020,Enable flag which override of AC_On_Off_Switch.
AC_On_Off_Switch_User_Value,,0x01157601,1,UNITLESS,0020,User override value for AC_On_Off_Switch.
AC_Press_Default,,0x01196656,2,PSI,0.0078125,Air Conditioner pressure AD global default value (in PSI)
AC_Press_Sensor,,0x01196654,2,PSI,0.0078125,Air Conditioner pressure value linearized and filtered (in PSI)
AC_Press_Status,,0x0119632A,2,UNITLESS,FFFF,Transmission Governor Press Status
AC_Press_Status,,0x0119632A,2,UNITLESS,FFFF,Transmission Governor Press Status
AC_Pressure,,0x0115158E,2,PSI,0.0078125,AC_Pressure raw value linearized and filtered
AC_Pressure_AD_Enable,,0x01153208,2,UNITLESS,0080,Enable bit for the AC_Pressure sensor.
AC_Pressure_Fault_Clear,,0x018A530E,2,CNTS,1.0,AC_Pressure_Fault_Count when error cleared
AC_Pressure_Fault_Count,,0x018A5404,2,CNTS,1.0,AC_Pressure out of range error count
AC_Pressure_Fault_Decrement,,0x018A530A,2,CNTS,1.0,AC_Pressure decrement value for setting error
AC_Pressure_Fault_Increment,,0x018A5308,2,CNTS,1.0,AC_Pressure increment value for setting error
AC_Pressure_Fault_Set,,0x018A530C,2,CNTS,1.0,AC_Pressure_Fault_Count when error set
AC_Pressure_Filter_Constant,,0x018A5300,2,UNITLESS,0.0000152587890,AC_Pressure AD Filter Constant
AC_Pressure_Global_Default,,0x018A5302,2,PSI,0.0078125,AC_Pressure AD global default value
AC_Pressure_High_Error,,0x01103630,2,UNITLESS,0001,AC_Pressure High Error Indication
AC_Pressure_High_Limit,,0x018A5304,2,CNTS,1.0,AC_Pressure high limit for the raw value
AC_Pressure_Init_Default,,0x018B2B08,2,UNITLESS,0080,Raw or default init bit for the AC_Pressure sensor.
AC_Pressure_Is_Refreshed,,0x01156008,2,UNITLESS,0080,AC_Pressure raw data refreshed flag.
AC_Pressure_Learn_Raw_Maximum,,0x018A1426,2,CNTS,1,Upper limit below which the ac pressure can be learned
AC_Pressure_Learn_Raw_Minimum,,0x018A1428,2,CNTS,1,Lower limit above which the ac pressure can be learned
AC_Pressure_Learn_Time,,0x018A142A,2,SEC,0.1,Amount of time that ac pressure must be in range before considered learned
AC_Pressure_Learned,,0x018B3800,2,UNITLESS,1,AC pressure learning parameter;=1 if learned;saved at powerdown
AC_Pressure_Low_Error,,0x01103630,2,UNITLESS,0002,AC_Pressure Low Error Indication
AC_Pressure_Low_Limit,,0x018A5306,2,CNTS,1.0,AC_Pressure low limit for the raw value
AC_Pressure_Map,,0x01151F8E,2,UNITLESS,1.0,AC_Pressure mapping index to HW channel
AC_Pressure_Override,,0x01153308,2,UNITLESS,0080,Filtered value override bit for the AC_Pressure sensor.
AC_Pressure_Priority,,0x018A5408,1,UNITLESS,1.0,AC_Pressure mux override priority
AC_Pressure_Ratio_Supply_ID,,0x01193A8E,2,UNITLESS,1.0,AC_Pressure mapping index to Sensor Supply ID
AC_Pressure_Raw,,0x018A5400,2,CNTS,1.0,AC_Pressure sampled raw value
AC_Pressure_Raw_Adjusted,,0x018A540A,2,CNTS,1.0,AC_Pressure adjusted raw value
AC_Pressure_Raw_Override,,0x01153408,2,UNITLESS,0080,Enable bit for the AC_Pressure sensor.
AC_Pressure_Raw_Priority,,0x01152047,1,UNITLESS,1.0,AC_Pressure current raw override priority
AC_Pressure_Raw_User_Value,,0x0115298E,2,UNITLESS,1.0,AC_Pressure raw override user value
AC_Pressure_Switch_Source_Address_Enable,MXAKPRSA,0x0112E810,1,HEX,1.0,[MXAKPRSA] Source Address allowed for MUXing Air Conditioner Pressure Switch parameter
AC_Pressure_Unfiltered,,0x018A5402,2,PSI,0.0078125,AC_Pressure raw value linearized but unfiltered
AC_Pressure_User_Value,,0x018A5406,2,PSI,0.0078125,AC_Pressure Filtered Value User Value
AC_Pressure_X_Axis,,0x018A5500,2,CNTS,1.0,AC_Pressure AD Breakpoint Table
AC_Pressure_Y_Axis,,0x018A5600,2,PSI,0.0078125,AC_Pressure Lookup Output Table
AC_Smart_Enable,ACEN,0x01106B26,2,UNITLESS,40,"[ACEN] Word 12h, bit 6 of 0 to 15 - Smart Air Compressor Enable"
AC_WOT_Cutout_Time,,0x018A1420,2,SEC,0.1,Amount of time that ac driver will be turned off during WOT condition
AC_WOT_MPH,,0x018A1422,2,MPH,0.00390625,"If throttle at WOT and MPH < this, ac driver turned off for AC_WOT_Cutout_Time"
AC_WOT_Off,,0x018A1400,2,%THROTTLE,0.25,"If throttle > this, ac driver turned off for AC_WOT_Cutout_Time"
AC_WOT_Reset_Time,,0x018A1424,2,SEC,0.1,Minimum allowed time between WOT ac driver shutoff conditions
AFC_Alpha_Timeout,APAFTRTM,0x01104B06,2,SEC,0.2,[APAFTRTM] Time that must elapse without AFC limiting before ALPHA may be set to one
AFC_Boost_Pressure_Axis,AFFLLMYA,0x01104D00,2,IN_HG,0.0159062501,[AFFLLMYA] Boost Pressure axis used by AFC to determine fuel limit (14 values)
AFC_Cold_Increment_Enable,,0x01106B54,2,UNITLESS,2000,Enable for AFC cold increment fuel
AFC_Engine_Speed_Axis,AFFLLMXA,0x01104E00,2,RPM,0.125,[AFFLLMXA] Engine speed axis used by AFC to determine fueling limit (21 values)
AFC_Fueling,AFFL,0x01104C00,2,MM3S,0.06793478400,[AFFL] fueling limit as calculated by AFC Fueling algorithm
AFC_Fueling_Override_Value,AFFLMAN,0x0111D500,2,MM3S,0.06793478400,[AFFLMAN] AFC fueling derate value when AFC override is enabled
AFC_Fueling_Slew_Rate_1,,0x0111D50C,4,MM3S/SEC,0.06793478400,Slew rate applied to AFC_Fueling when > AFC_Fueling_Threshold_1
AFC_Fueling_Slew_Rate_2,,0x0111D510,4,MM3S/SEC,0.06793478400,Slew rate applied to AFC_Fueling when > AFC_Fueling_Threshold_2
AFC_Fueling_Slew_Rate_3,,0x0111D514,4,MM3S/SEC,0.06793478400,Slew rate applied to AFC_Fueling when > AFC_Fueling_Threshold_3
AFC_Fueling_Table,AFFLLMZA,0x01104F00,2,MM3S,0.06793478400,[AFFLLMZA] AFC look-up table defining fueling limit as a function of boost and engine spee
AFC_Fueling_Threshold_1,,0x0111D506,2,MM3S,0.06793478400,Fueling threshold 1 for AFC_Fueling_Slew_Rate_1
AFC_Fueling_Threshold_2,,0x0111D508,2,MM3S,0.06793478400,Fueling threshold 2 for AFC_Fueling_Slew_Rate_2
AFC_Fueling_Threshold_3,,0x0111D50A,2,MM3S,0.06793478400,Fueling threshold 3 for AFC_Fueling_Slew_Rate_3
AFC_Low_Boost_Derate_Enable,,0x01106B02,2,UNITLESS,2,enables feature AFC Low Boost fuel limit
AFC_Low_Boost_Engine_Speed_Axis,,0x018D0800,2,RPM,0.125,Engine speed axis used by AFC Low Boost to determine fueling limit
AFC_Low_Boost_Error,,0x01103600,2,UNITLESS,0040,AFC_Low_Boost_Timer times out set AFC_Low_Boost_Error
AFC_Low_Boost_Fueling,,0x01104C02,2,MM3S,0.06793478400,fueling limit as calculated by AFC Low Boost Fueling algorithm
