cm550_addr,cm550_name,cm848_addr,cm848_name,score,evidence,action
0x0000ed64,insiteCommandByteDispatcher,0x0051cb60,getCommandParameterAddress,270,rare_const:0x85+0x9c+0x9d+0xa6+0xa8+15more;common_const:22;jaccard:0.23,rename_both:insiteCommandByteDispatcher
0x00015f8e,diagnosticCommandDispatcher,0x0051eca4,executeCommandByState,121,rare_const:0x4a+0x52+0x57+0x72;common_const:26;jaccard:0.19,rename_both:diagnosticCommandDispatcher
0x00032c76,FUN_00032c76,0x0002588c,j1939GetEngineStateCode,115,rare_const:0xf2+0xf4;common_const:26;jaccard:0.72;struct:similar,name_cm550:j1939GetEngineStateCode
0x0001b876,FUN_0001b876,0x0000c0a0,main_loop,104,common_const:25;jaccard:0.93;rare_callee:periodicTaskSet_fuelDemand;struct:similar,name_cm550:main_loop
0x0000d610,FUN_0000d610,0x00051038,updateEngineSyncStatus,89,common_const:28;jaccard:0.25,name_cm550:updateEngineSyncStatus
0x00032e4c,FUN_00032e4c,0x00025b10,j1939HandlePgn61443Eec2,53,rare_const:0xf4;common_const:9;jaccard:0.67;struct:similar,name_cm550:j1939HandlePgn61443Eec2
0x00028b80,canTransmissionScheduler,0x00537cf8,initDiagnosticBufferPointers,46,rare_const:0x1f4;common_const:10;jaccard:0.16;struct:similar,rename_both:initDiagnosticBufferPointers
0x0002f632,FUN_0002f632,0x000234a4,j1939FormatMultiFrameResponse,46,common_const:7;jaccard:1.00;common_callee:lookupTableInterpolation;struct:similar,name_cm550:j1939FormatMultiFrameResponse
0x000322ae,activeDtcListBuilder,0x00024be8,j1939HandlePgn65226Dm1ActiveDtc,46,rare_const:0xffffe000;common_const:7;jaccard:0.62;struct:similar,rename_both:j1939HandlePgn65226Dm1ActiveDtc
0x0002d3c6,FUN_0002d3c6,0x0002a960,initProtectionParamCalculation,43,rare_const:0x20c+0x7ccc;common_const:5;jaccard:0.32;common_callee:lookupTableInterpolation,name_cm550:initProtectionParamCalculation
0x00018fcc,FUN_00018fcc,0x00508544,processDiagnosticLimitStatus,41,rare_const:0x300+0xc00;common_const:4;jaccard:0.32;struct:similar,name_cm550:processDiagnosticLimitStatus
0x00026b88,FUN_00026b88,0x000533e0,hpcr_injectorPulseWidthCalc,39,common_const:8;jaccard:0.62;struct:similar,name_cm550:hpcr_injectorPulseWidthCalc
0x0002f128,torqueControlModeHandler,0x00022d60,processTsc1Command,39,rare_const:0x5dc0;common_const:4;jaccard:0.71;struct:similar,rename_both:torqueControlModeHandler
