ModuleID,Language,HelpFile
991,"EN","EN\insitehelp.chm"
992,"EN","EN\insitehelp.chm"
993,"EN","EN\insitehelp.chm"
994,"EN","EN\insitehelp.chm"
995,"DE","DE\deqskcm850.chm"
995,"EN","EN\insitehelp.chm"
995,"JA","JA\jaqskcm850.chm"
995,"PT","PT\brqskcm850.chm"
997,"EN","EN\insitehelp.chm"
998,"DE","DE\deqskcm850.chm"
998,"EN","EN\insitehelp.chm"
998,"JA","JA\jaqskcm850.chm"
998,"PT","PT\brqskcm850.chm"
999,"EN","EN\insitehelp.chm"
999,"FR","FR\frismcm876.chm"
999,"ZH","ZH\zhsismcm876.chm"
1010,"EN","EN\insitehelp.chm"
1011,"EN","EN\insitehelp.chm"
1012,"EN","EN\insitehelp.chm"
1020,"EN","EN\insitehelp.chm"
1030,"EN","EN\insitehelp.chm"
1035,"EN","EN\insitehelp.chm"
1040,"EN","EN\insitehelp.chm"
1045,"EN","EN\insitehelp.chm"
1050,"EN","EN\insitehelp.chm"
1055,"EN","EN\insitehelp.chm"
1065,"EN","EN\insitehelp.chm"
