SystemType,EFCode,Language,HelpFile
6000,6,"JA","FIS4960378.chm"
6000,6,"KO","FIS4960467.chm"
6000,6,"PT","FIS3653269.chm"
6000,6,"RU","FIS4960574.chm"
6000,6,"TR","FIS4915923.chm"
6000,6,"ZH","FIS3667186.chm"
6100,6,"DE","FIS4915984.chm"
6100,6,"EN","FIS4021416.chm"
6100,6,"ES","FIS4018058.chm"
6100,6,"FR","FIS3667172.chm"
6100,6,"IT","FIS4915985.chm"
6100,6,"JA","FIS4960378.chm"
6100,6,"KO","FIS4960467.chm"
6100,6,"PT","FIS3653269.chm"
6100,6,"RU","FIS4960574.chm"
6100,6,"TR","FIS4915923.chm"
6100,6,"ZH","FIS3667186.chm"
6200,16,"EN","FIS4021560.chm"
6200,16,"ES","FIS4018261.chm"
6200,16,"FR","FIS4960393.chm"
6200,16,"KO","FIS4960527.chm"
6300,13,"DE","FIS4960412.chm"
6300,13,"EN","FIS4021493.chm"
6300,13,"ES","FIS4018219.chm"
6300,13,"FR","FIS4961028.chm"
6300,13,"IT","FIS4960561.chm"
6300,13,"JA","FIS4960390.chm"
6300,13,"PT","FIS3653274.chm"
6300,13,"RU","FIS4960311.chm"
6300,13,"ZH","FIS4960448.chm"
6500,8,"EN","FIS4021570.chm"
6500,8,"ES","FIS4018262.chm"
6500,8,"FR","FIS4960394.chm"
6500,8,"RU","FIS4960573.chm"
6500,8,"ZH","FIS4960367.chm"
6555,60,"EN","FIS4021674.chm"
6556,162,"EN","FIS2883554.chm"
6556,162,"ES","FIS4312413.chm"
6556,162,"FR","FIS4312412.chm"
6557,123,"EN","FIS4022094.chm"
6558,13,"DE","FIS4960412.chm"
6558,13,"EN","FIS4021493.chm"
6558,13,"ES","FIS4018219.chm"
6558,13,"FR","FIS4961028.chm"
6558,13,"IT","FIS4960561.chm"
6558,13,"JA","FIS4960390.chm"
6558,13,"PT","FIS3653274.chm"
6558,13,"RU","FIS4960311.chm"
6558,13,"ZH","FIS4960448.chm"
6559,122,"EN","FIS4022102.chm"
6573,120,"DE","FIS4960987.chm"
6573,120,"EN","FIS4021677.chm"
6573,120,"ES","FIS4960747.chm"
6573,120,"FR","FIS4960729.chm"
6573,120,"IT","FIS4960988.chm"
6573,120,"KO","FIS4961012.chm"
6573,120,"NL","FIS4960990.chm"
6573,120,"PT","FIS3653374.chm"
6573,120,"RU","FIS4960723.chm"
6573,120,"TR","FIS4960735.chm"
6573,120,"ZH","FIS4960564.chm"
6574,120,"DE","FIS4960987.chm"
6574,120,"EN","FIS4021677.chm"
6574,120,"ES","FIS4960747.chm"
6574,120,"FR","FIS4960729.chm"
6574,120,"IT","FIS4960988.chm"
6574,120,"KO","FIS4961012.chm"
6574,120,"NL","FIS4960990.chm"
6574,120,"PT","FIS3653374.chm"
6574,120,"RU","FIS4960723.chm"
6574,120,"TR","FIS4960735.chm"
6574,120,"ZH","FIS4960564.chm"
6575,120,"DE","FIS4960987.chm"
6575,120,"EN","FIS4021677.chm"
6575,120,"ES","FIS4960747.chm"
6575,120,"FR","FIS4960729.chm"
6575,120,"IT","FIS4960988.chm"
6575,120,"KO","FIS4961012.chm"
6575,120,"NL","FIS4960990.chm"
6575,120,"PT","FIS3653374.chm"
6575,120,"RU","FIS4960723.chm"
6575,120,"TR","FIS4960735.chm"
6575,120,"ZH","FIS4960564.chm"
6576,120,"DE","FIS4960987.chm"
6576,120,"EN","FIS4021677.chm"
6576,120,"ES","FIS4960747.chm"
6576,120,"FR","FIS4960729.chm"
6576,120,"IT","FIS4960988.chm"
6576,120,"KO","FIS4961012.chm"
6576,120,"NL","FIS4960990.chm"
6576,120,"PT","FIS3653374.chm"
6576,120,"RU","FIS4960723.chm"
6576,120,"TR","FIS4960735.chm"
6576,120,"ZH","FIS4960564.chm"
6660,122,"EN","FIS4022102.chm"
6661,5,"EN","FIS4021533.chm"
6661,5,"PT","FIS3653344.chm"
6661,5,"ZH","FIS4960517.chm"
6662,5,"EN","FIS4021533.chm"
6662,5,"PT","FIS3653344.chm"
6662,5,"ZH","FIS4960517.chm"
6663,122,"EN","FIS4022102.chm"
6664,122,"EN","FIS4022102.chm"
6665,122,"EN","FIS4022102.chm"
6666,5,"EN","FIS4021533.chm"
6666,5,"PT","FIS3653344.chm"
6666,5,"ZH","FIS4960517.chm"
6667,5,"EN","FIS4021533.chm"
6667,5,"PT","FIS3653344.chm"
6667,5,"ZH","FIS4960517.chm"
6668,5,"EN","FIS4021533.chm"
6668,5,"PT","FIS3653344.chm"
6668,5,"ZH","FIS4960517.chm"
7001,120,"DE","FIS4960987.chm"
7001,120,"EN","FIS4021677.chm"
7001,120,"ES","FIS4960747.chm"
7001,120,"FR","FIS4960729.chm"
7001,120,"IT","FIS4960988.chm"
7001,120,"KO","FIS4961012.chm"
7001,120,"NL","FIS4960990.chm"
7001,120,"PT","FIS3653374.chm"
7001,120,"RU","FIS4960723.chm"
7001,120,"TR","FIS4960735.chm"
7001,120,"ZH","FIS4960564.chm"
7002,120,"DE","FIS4960987.chm"
7002,120,"EN","FIS4021677.chm"
7002,120,"ES","FIS4960747.chm"
7002,120,"FR","FIS4960729.chm"
7002,120,"IT","FIS4960988.chm"
7002,120,"KO","FIS4961012.chm"
7002,120,"NL","FIS4960990.chm"
7002,120,"PT","FIS3653374.chm"
7002,120,"RU","FIS4960723.chm"
7002,120,"TR","FIS4960735.chm"
7002,120,"ZH","FIS4960564.chm"
7010,145,"DE","FIS4961233.chm"
7010,145,"EN","FIS4022225.chm"
7010,145,"ES","FIS4961232.chm"
7010,145,"FR","FIS4961207.chm"
7020,145,"DE","FIS4961233.chm"
7020,145,"EN","FIS4022225.chm"
7020,145,"ES","FIS4961232.chm"
7020,145,"FR","FIS4961207.chm"
7030,145,"DE","FIS4961233.chm"
7030,145,"EN","FIS4022225.chm"
7030,145,"ES","FIS4961232.chm"
7030,145,"FR","FIS4961207.chm"
7040,168,"DE","FIS4312428.chm"
7040,168,"EN","FIS2883620.chm"
7040,168,"ES","FIS4299179.chm"
7040,168,"FR","FIS4312432.chm"
7040,168,"IT","FIS4312417.chm"
7040,168,"NL","FIS4312421.chm"
7050,152,"DE","FIS2899385.chm"
7050,152,"EN","FIS2883477.chm"
7050,152,"ES","FIS2899386.chm"
7050,152,"FR","FIS2899384.chm"
7050,152,"IT","FIS2899380.chm"
7050,152,"NL","FIS4312441.chm"
7060,152,"DE","FIS2899385.chm"
7060,152,"EN","FIS2883477.chm"
7060,152,"ES","FIS2899386.chm"
7060,152,"FR","FIS2899384.chm"
7060,152,"IT","FIS2899380.chm"
7060,152,"NL","FIS4312441.chm"
7070,145,"DE","FIS4961233.chm"
7070,145,"EN","FIS4022225.chm"
7070,145,"ES","FIS4961232.chm"
7070,145,"FR","FIS4961207.chm"
7080,120,"DE","FIS4960987.chm"
7080,120,"EN","FIS4021677.chm"
7080,120,"ES","FIS4960747.chm"
7080,120,"FR","FIS4960729.chm"
7080,120,"IT","FIS4960988.chm"
7080,120,"KO","FIS4961012.chm"
7080,120,"NL","FIS4960990.chm"
7080,120,"PT","FIS3653374.chm"
7080,120,"RU","FIS4960723.chm"
7080,120,"TR","FIS4960735.chm"
7080,120,"ZH","FIS4960564.chm"
7090,120,"DE","FIS4960987.chm"
7090,120,"EN","FIS4021677.chm"
7090,120,"ES","FIS4960747.chm"
7090,120,"FR","FIS4960729.chm"
7090,120,"IT","FIS4960988.chm"
7090,120,"KO","FIS4961012.chm"
7090,120,"NL","FIS4960990.chm"
7090,120,"PT","FIS3653374.chm"
7090,120,"RU","FIS4960723.chm"
7090,120,"TR","FIS4960735.chm"
7090,120,"ZH","FIS4960564.chm"
7110,120,"DE","FIS4960987.chm"
7110,120,"EN","FIS4021677.chm"
7110,120,"ES","FIS4960747.chm"
7110,120,"FR","FIS4960729.chm"
7110,120,"IT","FIS4960988.chm"
7110,120,"KO","FIS4961012.chm"
7110,120,"NL","FIS4960990.chm"
7110,120,"PT","FIS3653374.chm"
7110,120,"RU","FIS4960723.chm"
7110,120,"TR","FIS4960735.chm"
7110,120,"ZH","FIS4960564.chm"
7120,144,"DE","FIS4322394.chm"
7120,144,"EN","FIS2883376.chm"
7120,144,"FR","FIS4322386.chm"
7120,144,"IT","FIS4322390.chm"
7130,8,"EN","FIS4021570.chm"
7130,8,"ES","FIS4018262.chm"
7130,8,"FR","FIS4960394.chm"
7130,8,"RU","FIS4960573.chm"
7130,8,"ZH","FIS4960367.chm"
7140,30,"EN","FIS4021661.chm"
7145,30,"EN","FIS4021661.chm"
7210,145,"DE","FIS4961233.chm"
7210,145,"EN","FIS4022225.chm"
7210,145,"ES","FIS4961232.chm"
7210,145,"FR","FIS4961207.chm"
7211,145,"DE","FIS4961233.chm"
7211,145,"EN","FIS4022225.chm"
7211,145,"ES","FIS4961232.chm"
7211,145,"FR","FIS4961207.chm"
7212,145,"EN","FIS4022225.chm"
7212,145,"ES","FIS4961232.chm"
7212,145,"FR","FIS4961207.chm"
7213,145,"DE","FIS4961233.chm"
7213,145,"EN","FIS4022225.chm"
7213,145,"ES","FIS4961232.chm"
7213,145,"FR","FIS4961207.chm"
7214,145,"DE","FIS4961233.chm"
7214,145,"EN","FIS4022225.chm"
7214,145,"ES","FIS4961232.chm"
7214,145,"FR","FIS4961207.chm"
7215,8,"DE","FIS4961233.chm"
7215,8,"EN","FIS4021570.chm"
7215,8,"ES","FIS4018262.chm"
7215,8,"FR","FIS4960394.chm"
7215,8,"ZH","FIS4960367.chm"
7220,120,"DE","FIS4960987.chm"
7220,120,"EN","FIS4021677.chm"
7220,120,"ES","FIS4960747.chm"
7220,120,"FR","FIS4960729.chm"
7220,120,"IT","FIS4960988.chm"
7220,120,"KO","FIS4961012.chm"
7220,120,"NL","FIS4960990.chm"
7220,120,"PT","FIS3653374.chm"
7220,120,"RU","FIS4960723.chm"
7220,120,"TR","FIS4960735.chm"
7220,120,"ZH","FIS4960564.chm"
7230,52,"DE","FIS4322395.chm"
7230,52,"EN","FIS4021658.chm"
7230,52,"PT","FIS3653539.chm"
7240,16,"EN","FIS4021560.chm"
7250,157,"EN","FIS2883517.chm"
7260,170,"DE","FIS4312462.chm"
7260,170,"EN","FIS2883641.chm"
7260,170,"ES","FIS4299183.chm"
7260,170,"FR","FIS4312458.chm"
7260,170,"IT","FIS4312466.chm"
7270,169,"DE","FIS4312446.chm"
7270,169,"EN","FIS4310594.chm"
7270,169,"ES","FIS4299187.chm"
7270,169,"FR","FIS4312454.chm"
7270,169,"IT","FIS4312450.chm"
7280,152,"DE","FIS2899385.chm"
7280,152,"EN","FIS2883477.chm"
7280,152,"ES","FIS2899386.chm"
7280,152,"FR","FIS2899384.chm"
7280,152,"IT","FIS2899380.chm"
7280,152,"NL","FIS4312441.chm"
