SystemType,EFCode,Language,HelpFile
7440,120,"ZH","FIS4960564.chm"
7450,120,"DE","FIS4960987.chm"
7450,120,"EN","FIS4021677.chm"
7450,120,"ES","FIS4960747.chm"
7450,120,"FR","FIS4960729.chm"
7450,120,"IT","FIS4960988.chm"
7450,120,"KO","FIS4961012.chm"
7450,120,"NL","FIS4960990.chm"
7450,120,"PT","FIS3653374.chm"
7450,120,"RU","FIS4960723.chm"
7450,120,"TR","FIS4960735.chm"
7450,120,"ZH","FIS4960564.chm"
7460,8,"EN","FIS4021570.chm"
7460,8,"ES","FIS4018262.chm"
7460,8,"FR","FIS4960394.chm"
7460,8,"RU","FIS4960573.chm"
7460,8,"ZH","FIS4960367.chm"
7470,145,"DE","FIS4961233.chm"
7470,145,"EN","FIS4022225.chm"
7470,145,"FR","FIS4961207.chm"
7470,145,"ZH","FIS4961232.chm"
7480,55,"EN","FIS4021315.chm"
7500,16,"EN","FIS4021560.chm"
7500,16,"ES","FIS4018261.chm"
7500,16,"FR","FIS4960393.chm"
7500,16,"KO","FIS4960527.chm"
7510,122,"EN","FIS4022102.chm"
7520,122,"EN","FIS4022102.chm"
7530,122,"EN","FIS4022102.chm"
7540,122,"EN","FIS4022102.chm"
7550,123,"EN","FIS4022094.chm"
7555,16,"EN","FIS4021560.chm"
7555,16,"ES","FIS4018261.chm"
7555,16,"FR","FIS4960393.chm"
7555,16,"KO","FIS4960527.chm"
7560,120,"DE","FIS4960987.chm"
7560,120,"EN","FIS4021677.chm"
7560,120,"ES","FIS4960747.chm"
7560,120,"FR","FIS4960729.chm"
7560,120,"IT","FIS4960988.chm"
7560,120,"KO","FIS4961012.chm"
7560,120,"NL","FIS4960990.chm"
7560,120,"PT","FIS3653374.chm"
7560,120,"RU","FIS4960723.chm"
7560,120,"TR","FIS4960735.chm"
7560,120,"ZH","FIS4960564.chm"
7565,120,"DE","FIS4960987.chm"
7565,120,"EN","FIS4021677.chm"
7565,120,"ES","FIS4960747.chm"
7565,120,"FR","FIS4960729.chm"
7565,120,"IT","FIS4960988.chm"
7565,120,"KO","FIS4961012.chm"
